measure,chord,note
2,C:maj,E
2,C:maj,E
2,C:maj,F
2,C:maj,E
2,C:maj,F
3,C:maj,E
3,C:maj,G
4,F:maj,E
4,F:maj,D#
4,F:maj,E
4,F:maj,E
4,F:maj,F
5,C:maj,E
5,C:maj,G
6,F:maj,E
6,F:maj,E
6,F:maj,F
7,C:maj,G
7,C:maj,G
7,C:maj,F
7,C:maj,E
8,G:maj,D
9,G:maj,G
9,G:maj,A
9,G:maj,B
10,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,E
12,F:maj,F
13,F:maj,F
13,F:maj,F
13,F:maj,D
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,C
14,C:maj,C
15,G:maj,D
15,G:maj,D
15,G:maj,D
15,G:maj,C
15,G:maj,B
16,C:maj,C
17,C:maj,C
17,C:maj,G
18,C:maj,E
18,C:maj,E
18,C:maj,D#
18,C:maj,E
18,C:maj,F
19,C:maj,E
20,F:maj,E
20,F:maj,E
20,F:maj,D#
20,F:maj,E
20,F:maj,F
21,C:maj,E
22,F:maj,E
22,F:maj,E
22,F:maj,D#
22,F:maj,E
22,F:maj,E
22,F:maj,F
23,C:maj,G
23,C:maj,G
23,C:maj,F
23,C:maj,E
24,G:maj,D
25,G:maj,G
25,G:maj,A
25,G:maj,B
26,C:maj,C
27,C:maj,C
27,C:maj,C
27,C:maj,C
27,C:maj,D
27,C:maj,E
28,F:maj,F
28,F:maj,F
29,F:maj,C
29,F:maj,F
29,F:maj,C
30,C:maj,E
30,C:maj,E
30,C:maj,E
30,C:maj,E
30,C:maj,C
30,C:maj,C
31,G:maj,D
31,G:maj,D
31,G:maj,D
31,G:maj,C
31,G:maj,A
32,C:maj,C
33,C:maj,C
33,C:maj,G
34,C:maj,C
35,C:maj,C
