measure,chord,note
1,C:maj,E
1,C:maj,G
1,C:maj,G
1,C:maj,A
1,C:maj,A
1,C:maj,C
1,C:maj,C
2,C:maj,E
2,C:maj,E
2,C:maj,B
2,C:maj,B
2,C:maj,A
2,C:maj,A
2,C:maj,E
2,C:maj,E
3,D:min,F
3,D:min,G
3,D:min,G
4,G:maj,G
5,D:min,F
5,D:min,G
5,D:min,G
5,D:min,A
5,D:min,A
5,D:min,C
5,D:min,C
6,G:maj,F
6,G:maj,F
6,G:maj,C
6,G:maj,C
6,G:maj,A
6,G:maj,A
6,G:maj,F
6,G:maj,F
7,C:maj,E
7,C:maj,G
7,C:maj,G
8,C:maj,G
9,C:maj,C
9,C:maj,D
10,C:maj,E
10,C:maj,D
10,C:maj,E
10,C:maj,D
10,C:maj,C
11,F:maj,E
11,F:maj,A
12,F:maj,C
13,D:maj,E
13,D:maj,A
14,D:maj,C
15,D:min,B
15,D:min,B
15,D:min,D
15,D:min,A
15,D:min,A
15,D:min,C
16,G:maj,G
16,G:maj,G
16,G:maj,B
16,G:maj,F
17,C:maj,E
17,C:maj,G
17,C:maj,G
17,C:maj,A
17,C:maj,A
17,C:maj,C
17,C:maj,C
18,C:maj,E
18,C:maj,E
18,C:maj,B
18,C:maj,B
18,C:maj,A
18,C:maj,A
18,C:maj,E
18,C:maj,E
19,D:min,F
19,D:min,G
19,D:min,G
20,G:maj,G
21,D:min,F
21,D:min,G
21,D:min,G
21,D:min,A
21,D:min,A
21,D:min,C
21,D:min,C
22,G:maj,F
22,G:maj,F
22,G:maj,C
22,G:maj,C
22,G:maj,A
22,G:maj,A
22,G:maj,F
22,G:maj,F
23,G:maj,E
23,G:maj,G
23,G:maj,G
24,C:maj,D
25,F:maj,E
25,F:maj,E
25,F:maj,E
25,F:maj,D
26,F:min,G
26,F:min,G
26,F:min,F
26,F:min,E
26,F:min,D
27,C:maj,D
27,C:maj,D
27,C:maj,D
27,C:maj,D
27,C:maj,C
28,A:maj,B
28,A:maj,A
29,D:min,F
29,D:min,F
29,D:min,A
29,D:min,A
29,D:min,D
29,D:min,D
29,D:min,E
29,D:min,E
30,G:maj,F
30,G:maj,B
31,C:maj,C
32,C:maj,G
32,C:maj,C
