measure,chord,note
2,G:maj,B
3,G:maj,B
3,G:maj,A
3,G:maj,B
3,G:maj,C
4,G:maj,D
4,G:maj,D
5,D:min,D
5,D:min,C
5,D:min,B
6,C:maj,C
7,C:maj,C
7,C:maj,B
7,C:maj,C
7,C:maj,D
8,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,D#
10,E:maj,E
10,E:maj,F#
11,E:maj,G#
11,E:maj,F#
11,E:maj,E
11,E:maj,D#
12,A:min,E
12,A:min,E
13,A:min,E
13,A:min,D#
13,A:min,E
14,D:maj,F#
14,D:maj,E
15,A:min,C
15,A:min,D
15,A:min,B
15,A:min,A
16,G:maj,D
17,G:maj,D
17,G:maj,E
17,G:maj,F
18,C:maj,G
18,C:maj,E
19,C:maj,G
19,C:maj,E
19,C:maj,G
19,C:maj,E
20,G:min,D
20,G:min,D
21,C:maj,D
21,C:maj,C
21,C:maj,D
22,F#:min,E
22,F#:min,D#
23,F#:min,E
23,F#:min,D#
23,F#:min,E
23,F#:min,C
24,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,B
26,D#:min,C
26,D#:min,B
27,D#:min,D
27,D#:min,C
27,D#:min,B
27,D#:min,C
28,C:maj,G
28,C:maj,E
29,C:maj,E
29,C:maj,F
29,C:maj,F#
30,G:maj,G
30,G:maj,F
30,G:maj,D
31,G:maj,A
31,G:maj,B
32,C:maj,C
32,C:maj,C
33,C:maj,C
33,C:maj,G
33,C:maj,A
34,C:maj,C
34,C:maj,C
35,D:min,C
35,D:min,C
