measure,chord,note
2,F:maj,E
2,F:maj,E
2,F:maj,F
2,F:maj,E
2,F:maj,G
3,G:maj,E
3,G:maj,E
3,G:maj,F
3,G:maj,E
3,G:maj,G
4,G:min,E
4,G:min,E
4,G:min,F
4,G:min,E
4,G:min,G
5,C:maj,E
5,C:maj,A
5,C:maj,G
5,C:maj,E
6,F:maj,E
6,F:maj,C
6,F:maj,C
7,A#:maj,C
7,A#:maj,G
8,E:min,G
8,E:min,G
8,E:min,A
8,E:min,F#
8,E:min,E
9,E:min,G
9,E:min,G
9,E:min,A
9,E:min,F#
9,E:min,E
10,E:min,G
10,E:min,A
10,E:min,F#
10,E:min,F#
10,E:min,E
10,E:min,G
11,A:maj,G
11,A:maj,A
11,A:maj,G
11,A:maj,G
12,D:min,E
12,D:min,E
12,D:min,F
12,D:min,E
12,D:min,G
13,G:maj,E
13,G:maj,E
13,G:maj,F
13,G:maj,E
13,G:maj,G
14,C:maj,E
15,A:maj,E
15,A:maj,G
16,F:maj,E
16,F:maj,E
16,F:maj,F
16,F:maj,E
16,F:maj,G
17,G:maj,E
17,G:maj,E
17,G:maj,F
17,G:maj,E
17,G:maj,G
18,G:min,E
18,G:min,E
18,G:min,F
18,G:min,E
18,G:min,G
19,C:maj,E
19,C:maj,A
19,C:maj,G
19,C:maj,E
20,F:maj,E
20,F:maj,C
20,F:maj,C
21,A#:maj,C
21,A#:maj,G
22,E:min,G
22,E:min,G
22,E:min,A
22,E:min,F#
22,E:min,E
23,E:min,G
23,E:min,G
23,E:min,A
23,E:min,F#
23,E:min,E
24,E:min,G
24,E:min,A
24,E:min,F#
24,E:min,F#
24,E:min,E
24,E:min,G
25,A:maj,G
25,A:maj,A
25,A:maj,G
25,A:maj,G
26,D:min,E
26,D:min,E
26,D:min,F
26,D:min,E
26,D:min,G
27,G:maj,E
27,G:maj,E
27,G:maj,F
27,G:maj,E
27,G:maj,G
28,C:maj,E
29,C:maj,E
29,C:maj,G
30,F#:min,B
30,F#:min,B
30,F#:min,C
30,F#:min,B
30,F#:min,B
31,F:maj,B
31,F:maj,B
31,F:maj,C
31,F:maj,B
31,F:maj,B
32,E:min,A
32,E:min,A
32,E:min,A#
32,E:min,A
32,E:min,A
33,A:maj,A
33,A:maj,A
33,A:maj,A#
33,A:maj,A
33,A:maj,A
34,D:min,G
34,D:min,G
34,D:min,A
34,D:min,G
34,D:min,G
35,G:maj,G
35,G:maj,G
35,G:maj,A
35,G:maj,G
35,G:maj,G
36,E:maj,E
37,A:maj,E
37,A:maj,E
37,A:maj,F
37,A:maj,E
37,A:maj,G
38,F:maj,E
38,F:maj,E
38,F:maj,F
38,F:maj,E
38,F:maj,G
39,G:maj,E
39,G:maj,E
39,G:maj,F
39,G:maj,E
39,G:maj,F
40,E:min,F#
40,E:min,F#
40,E:min,G
40,E:min,F#
40,E:min,A
41,A:maj,A
41,A:maj,A
41,A:maj,G
41,A:maj,F
42,D:min,E
42,D:min,E
42,D:min,F
42,D:min,E
42,D:min,G
43,G:maj,E
43,G:maj,E
43,G:maj,F
43,G:maj,E
43,G:maj,G
44,C:maj,E
45,C:maj,E
