measure,chord,note
1,A:min,A
1,A:min,A
2,A:min,B
2,A:min,A
3,D:min,E
3,D:min,D
4,G:maj,E
4,G:maj,D
5,G:maj,E
5,G:maj,D
6,G:maj,A
7,G:maj,G
8,C:maj,G
9,C:maj,C
9,C:maj,G
10,D:min,G
10,D:min,F
10,D:min,G
11,D:min,A
12,G:maj,D
13,G:maj,G
13,G:maj,B
14,D#:min,B
14,D#:min,A
14,D#:min,B
15,D:min,C
16,D:min,A
16,D:min,F
16,D:min,A
17,D:min,C
17,D:min,A
17,D:min,C
18,G:maj,E
19,G:maj,D
19,G:maj,C
19,G:maj,B
20,C:maj,G
21,D#:min,A
21,D#:min,B
21,D#:min,C
22,D:min,D
23,G:maj,E
24,C:maj,G
25,C:maj,C
25,C:maj,G
26,D:min,G
26,D:min,F
26,D:min,G
27,D:min,A
28,E:maj,E
29,E:maj,B
29,E:maj,D
30,A:min,D
30,A:min,C
30,A:min,D
31,D:maj,E
32,C:maj,E
32,C:maj,C
32,C:maj,E
33,D#:min,A
33,D#:min,G
33,D#:min,E
34,D:maj,C
35,B:min,B
35,B:min,C
35,B:min,D
36,G:maj,G
37,G:maj,D
38,C:maj,C
39,C:maj,C
40,C:maj,A
40,C:maj,E
40,C:maj,E
41,C:maj,G
41,C:maj,C
41,C:maj,C
42,F:maj,E
42,F:maj,D
42,F:maj,C
42,F:maj,D
42,F:maj,E
43,C:maj,A
43,C:maj,A
43,C:maj,C
44,D:min,C
44,D:min,C
44,D:min,B
44,D:min,A
44,D:min,G
44,D:min,A
44,D:min,G
45,C:maj,E
46,F:maj,A
46,F:maj,A
46,F:maj,G
46,F:maj,F
46,F:maj,E
46,F:maj,F
46,F:maj,E
47,A:min,C
48,D:min,C
48,D:min,D
48,D:min,C
48,D:min,D
48,D:min,C
49,D:min,C
49,D:min,D
49,D:min,C
49,D:min,E
49,D:min,C
50,E:min,G
50,E:min,G
51,C#:maj,G
