measure,chord,note
5,C:maj,G
5,C:maj,C
5,C:maj,E
5,C:maj,G
5,C:maj,C
5,C:maj,G
6,G:maj,B
6,G:maj,A
6,G:maj,F
6,G:maj,F
7,G:maj,F
7,G:maj,B
7,G:maj,D
7,G:maj,F
7,G:maj,B
7,G:maj,F
8,C:maj,A
8,C:maj,G
8,C:maj,E
8,C:maj,E
9,C:maj,G
9,C:maj,C
9,C:maj,E
9,C:maj,G
9,C:maj,B
9,C:maj,C
10,F:maj,D
10,F:maj,A
10,F:maj,A
10,F:maj,A
10,F:maj,C
11,G:maj,B
11,G:maj,A
11,G:maj,A
11,G:maj,F
11,G:maj,B
12,C:maj,D
12,C:maj,C
13,C:maj,G
13,C:maj,C
13,C:maj,G
13,C:maj,C
13,C:maj,G
14,G:maj,F
14,G:maj,B
14,G:maj,F
14,G:maj,B
15,G:maj,F
15,G:maj,B
15,G:maj,F
15,G:maj,B
15,G:maj,F
16,C:maj,E
16,C:maj,A
16,C:maj,E
16,C:maj,A
17,C:maj,G
17,C:maj,C
17,C:maj,G
17,C:maj,C
17,C:maj,B
18,F:maj,A
18,F:maj,D
18,F:maj,A
18,F:maj,D
18,F:maj,C
19,G:maj,B
19,G:maj,B
19,G:maj,A
19,G:maj,G
19,G:maj,F
19,G:maj,F
20,G:maj,E
20,G:maj,D
20,G:maj,C
20,G:maj,C
21,C:maj,G
21,C:maj,G
22,C:maj,C
22,C:maj,C
22,C:maj,B
22,C:maj,B
22,C:maj,C
22,C:maj,G
23,G:maj,B
23,G:maj,A
23,G:maj,F
23,G:maj,F
23,G:maj,G
23,G:maj,G
24,G:maj,B
24,G:maj,A#
24,G:maj,B
24,G:maj,F
25,C:maj,A
25,C:maj,G
25,C:maj,E
25,C:maj,E
25,C:maj,G
25,C:maj,G
25,C:maj,G
26,C:maj,C
26,C:maj,B
26,C:maj,C
26,C:maj,C
26,C:maj,C
26,C:maj,B
26,C:maj,C
27,F:maj,D
27,F:maj,C
27,F:maj,A
27,F:maj,A
27,F:maj,A
28,G:maj,G
28,G:maj,G
28,G:maj,F#
28,G:maj,G
28,G:maj,G
28,G:maj,A
28,G:maj,G
28,G:maj,F
29,G:maj,E
29,G:maj,D
29,G:maj,C
29,G:maj,C
30,F:maj,A
30,F:maj,D
30,F:maj,A
30,F:maj,D
30,F:maj,C
31,G:maj,B
31,G:maj,B
31,G:maj,B
31,G:maj,G
32,D:min,G
32,D:min,G
32,D:min,G
32,D:min,A
32,D:min,C
33,C:maj,C
34,C:maj,C
