measure,chord,note
2,C:maj,D
2,C:maj,C
2,C:maj,B
3,C:maj,D
3,C:maj,C
3,C:maj,B
4,G:maj,A
4,G:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,A
5,G:maj,B
6,C:maj,C
6,C:maj,D
7,C:maj,E
7,C:maj,D
7,C:maj,E
8,F:maj,A
9,F:maj,A
9,F:maj,G#
9,F:maj,A
10,G:maj,C
10,G:maj,B
10,G:maj,B
10,G:maj,A#
11,G:maj,B
11,G:maj,G
12,C:maj,D
12,C:maj,C
12,C:maj,C
12,C:maj,B
13,C:maj,C
13,C:maj,A
14,D:maj,E
14,D:maj,D
14,D:maj,D
14,D:maj,C#
15,D:maj,D
15,D:maj,A
16,G:maj,C
16,G:maj,B
16,G:maj,D
16,G:maj,B
17,G:maj,A
17,G:maj,G
17,G:maj,A
17,G:maj,B
18,C:maj,D
18,C:maj,C
18,C:maj,B
19,C:maj,D
19,C:maj,C
19,C:maj,B
20,G:maj,A
20,G:maj,G
21,G:maj,G
21,G:maj,G
21,G:maj,A
21,G:maj,B
22,C:maj,C
22,C:maj,D
23,C:maj,E
23,C:maj,D
23,C:maj,E
24,F:maj,A
25,A:maj,A
25,A:maj,A
26,D:min,F
26,D:min,E
26,D:min,F
26,D:min,E
26,D:min,D
27,F:min,F
28,C:maj,E
28,C:maj,D
28,C:maj,E
28,C:maj,D
28,C:maj,C
29,A:maj,B
29,A:maj,A
29,A:maj,G#
29,A:maj,A
30,D:maj,D
31,G:maj,E
32,C:maj,C
33,C:maj,C
