measure,chord,note
2,A:min,E
2,A:min,F
2,A:min,E
2,A:min,D
2,A:min,C
2,A:min,D
2,A:min,D
2,A:min,D#
2,A:min,D
2,A:min,C
2,A:min,A
2,A:min,C
3,A:min,C
3,A:min,D
3,A:min,C
3,A:min,A
3,A:min,G
3,A:min,A
3,A:min,A
3,A:min,B
3,A:min,A
3,A:min,G
3,A:min,E
3,A:min,G
4,G:maj,G
5,G:maj,G
5,G:maj,B
5,G:maj,A#
6,F:maj,A
6,F:maj,F
6,F:maj,F
7,E:maj,A
7,E:maj,A
7,E:maj,B
8,A:min,B
9,A:min,B
9,A:min,E
9,A:min,A
9,A:min,C
10,A:min,E
10,A:min,F
10,A:min,E
10,A:min,D
10,A:min,C
10,A:min,D
10,A:min,D
10,A:min,D#
10,A:min,D
10,A:min,C
10,A:min,A
10,A:min,C
11,A:min,C
11,A:min,D
11,A:min,C
11,A:min,A
11,A:min,G
11,A:min,A
11,A:min,A
11,A:min,B
11,A:min,A
11,A:min,G
11,A:min,E
11,A:min,G
12,G:maj,G
13,G:maj,G
13,G:maj,B
13,G:maj,A#
14,F:maj,A
14,F:maj,F
14,F:maj,F
15,E:maj,A
15,E:maj,A
15,E:maj,B
16,A:min,B
17,A:min,B
17,A:min,G
17,A:min,G
17,A:min,G
18,G:maj,G
18,G:maj,F
18,G:maj,A
18,G:maj,A
19,G:maj,A
19,G:maj,A
19,G:maj,A
19,G:maj,A
20,A:min,A
20,A:min,G
20,A:min,B
20,A:min,B
21,A:min,B
21,A:min,G
21,A:min,G
21,A:min,G
22,G:maj,G
22,G:maj,F
22,G:maj,A
22,G:maj,A
23,E:maj,A
23,E:maj,C
23,E:maj,D
24,A:min,D
25,A:min,D
25,A:min,E
25,A:min,A
25,A:min,C
