measure,chord,note
1,A:min,D
1,A:min,D
1,A:min,C
1,A:min,A
1,A:min,C
2,F:maj,C
2,F:maj,A
2,F:maj,A
3,F:maj,C
3,F:maj,C
3,F:maj,A
4,C:maj,E
4,C:maj,E
4,C:maj,G
4,C:maj,E
4,C:maj,E
4,C:maj,E
5,D:min,D
5,D:min,D
5,D:min,C
5,D:min,A
5,D:min,C
6,F:maj,C
6,F:maj,F
6,F:maj,F
6,F:maj,F
6,F:maj,E
6,F:maj,D
7,F:maj,E
7,F:maj,D
7,F:maj,C
7,F:maj,C
8,C:maj,G
8,C:maj,G
8,C:maj,G
8,C:maj,C
8,C:maj,D
8,C:maj,E
9,D:min,E
9,D:min,D
9,D:min,C
9,D:min,C
9,D:min,C
9,D:min,C
9,D:min,D
9,D:min,E
10,D:min,F
10,D:min,E
10,D:min,D
10,D:min,E
10,D:min,D
10,D:min,C
10,D:min,D
11,A:min,A
11,A:min,C
11,A:min,G
11,A:min,E
12,F:maj,E
12,F:maj,D
12,F:maj,C
12,F:maj,C
12,F:maj,C
13,F:maj,C
13,F:maj,G
13,F:maj,G
14,C:maj,G
14,C:maj,F
14,C:maj,E
14,C:maj,F
14,C:maj,E
14,C:maj,E
15,C:maj,E
15,C:maj,G
15,C:maj,G
15,C:maj,G
16,G:maj,G
16,G:maj,B
16,G:maj,B
16,G:maj,C
16,G:maj,D
16,G:maj,D
16,G:maj,B
17,F:maj,C
17,F:maj,B
17,F:maj,A
17,F:maj,G
17,F:maj,C
18,A:min,C
18,A:min,D
18,A:min,E
18,A:min,E
19,E:min,E
19,E:min,E
19,E:min,E
19,E:min,E
19,E:min,E
20,F:maj,D
20,F:maj,C
20,F:maj,C
20,F:maj,C
20,F:maj,B
20,F:maj,B
20,F:maj,B
20,F:maj,A
20,F:maj,A
20,F:maj,A
20,F:maj,G
21,G:maj,G
21,G:maj,G
21,G:maj,G
21,G:maj,G
21,G:maj,C
22,C:maj,D
22,C:maj,E
22,C:maj,D
22,C:maj,D
22,C:maj,C
22,C:maj,C
23,C:maj,G
23,C:maj,A
23,C:maj,C
23,C:maj,D
23,C:maj,C
24,F:maj,C
24,F:maj,C
24,F:maj,A
25,F:maj,F
25,F:maj,F
25,F:maj,F
25,F:maj,E
25,F:maj,D
26,C:maj,D
26,C:maj,E
26,C:maj,E
26,C:maj,D
26,C:maj,E
26,C:maj,D
26,C:maj,C
27,D:min,C
27,D:min,G
27,D:min,A
27,D:min,C
27,D:min,D
27,D:min,C
28,F:maj,C
28,F:maj,C
28,F:maj,A
29,F:maj,F
29,F:maj,F
29,F:maj,E
29,F:maj,G
30,C:maj,G
30,C:maj,F
30,C:maj,G
30,C:maj,F
30,C:maj,E
30,C:maj,D
30,C:maj,E
30,C:maj,D
31,C:maj,C
31,C:maj,C
31,C:maj,E
31,C:maj,C
31,C:maj,E
31,C:maj,F
31,C:maj,E
31,C:maj,E
31,C:maj,D
31,C:maj,C
32,G:maj,D
32,G:maj,C
32,G:maj,D
32,G:maj,C
32,G:maj,B
32,G:maj,G
32,G:maj,A
32,G:maj,B
33,F:maj,C
33,F:maj,B
33,F:maj,A
33,F:maj,G
33,F:maj,F
33,F:maj,F
33,F:maj,G
34,A:min,A
34,A:min,A
34,A:min,A
34,A:min,B
34,A:min,B
35,E:min,C
35,E:min,E
35,E:min,C
35,E:min,E
35,E:min,B
35,E:min,D
35,E:min,A
35,E:min,C
36,F:maj,F
36,F:maj,A
36,F:maj,F
36,F:maj,A
36,F:maj,D
36,F:maj,D
36,F:maj,C
37,G:maj,B
37,G:maj,B
37,G:maj,E
37,G:maj,D
37,G:maj,C
38,C:maj,C
39,C:maj,D
39,C:maj,E
39,C:maj,D
39,C:maj,D
39,C:maj,C
39,C:maj,C
40,F:maj,E
40,F:maj,E
40,F:maj,C
40,F:maj,A
40,F:maj,G
41,C:maj,G
41,C:maj,F
41,C:maj,E
41,C:maj,E
42,F:maj,E
42,F:maj,C
42,F:maj,A
42,F:maj,G
43,C:maj,G
43,C:maj,F
43,C:maj,E
