measure,chord,note
2,C:maj,G
2,C:maj,E
2,C:maj,E
2,C:maj,D
3,A:maj,C#
3,A:maj,A
3,A:maj,G#
3,A:maj,G
4,D:maj,F#
4,D:maj,D
4,D:maj,D
4,D:maj,C
5,G:maj,B
5,G:maj,G
5,G:maj,F#
5,G:maj,F
6,C:maj,E
6,C:maj,G
6,C:maj,C
6,C:maj,A
6,C:maj,C
6,C:maj,D
7,C:min,G
7,C:min,A#
7,C:min,E
7,C:min,C
7,C:min,D#
7,C:min,F
8,G:maj,G
9,G:maj,G
9,G:maj,A
9,G:maj,G
9,G:maj,A
9,G:maj,G
9,G:maj,E
9,G:maj,D
10,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,E
12,F:maj,F
12,F:maj,F
12,F:maj,G
12,F:maj,F
13,F:maj,A
13,F:maj,G
13,F:maj,F
13,F:maj,D#
13,F:maj,D
13,F:maj,C
14,A#:maj,A#
14,A#:maj,A#
14,A#:maj,C
14,A#:maj,C#
15,A#:maj,D
15,A#:maj,A#
15,A#:maj,C
15,A#:maj,D
16,C:min,D#
16,C:min,D#
16,C:min,F
16,C:min,D#
17,C:min,G
17,C:min,F
17,C:min,D#
17,C:min,C#
17,C:min,C
17,C:min,A#
18,F:min,G#
18,F:min,G#
18,F:min,A#
18,F:min,C
19,G:maj,B
19,G:maj,C
19,G:maj,D
19,G:maj,E
19,G:maj,F
19,G:maj,F#
20,C:maj,G
20,C:maj,E
20,C:maj,E
20,C:maj,D
21,A:maj,C#
21,A:maj,A
21,A:maj,G#
21,A:maj,G
22,D:maj,F#
22,D:maj,D
22,D:maj,D
22,D:maj,C
23,G:maj,B
23,G:maj,G
23,G:maj,F#
23,G:maj,F
24,C:maj,E
24,C:maj,G
24,C:maj,C
24,C:maj,A
24,C:maj,C
24,C:maj,D
25,C:min,G
25,C:min,A#
25,C:min,D#
25,C:min,C
25,C:min,D#
25,C:min,F
26,G:maj,G
28,G:maj,G
28,G:maj,A
28,G:maj,G
28,G:maj,A
28,G:maj,G
28,G:maj,D#
28,G:maj,D
29,C:maj,C
30,C:maj,C
30,C:maj,C
30,C:maj,D
30,C:maj,E
31,C:maj,G
31,C:maj,A
31,C:maj,G
31,C:maj,A
31,C:maj,G
32,C:maj,D#
32,C:maj,D
32,C:maj,C
