measure,chord,note
1,A:min,E
1,A:min,E
1,A:min,E
1,A:min,E
2,D:maj,D
2,D:maj,D
2,D:maj,D
2,D:maj,D
2,D:maj,D
3,A:min,E
3,A:min,E
3,A:min,E
3,A:min,E
4,D:maj,D
4,D:maj,D
4,D:maj,D
4,D:maj,D
4,D:maj,D
4,D:maj,G
4,D:maj,G
5,A:min,A
5,A:min,A
5,A:min,A
5,A:min,G
5,A:min,A
5,A:min,C
6,D:maj,D
6,D:maj,C
6,D:maj,D
6,D:maj,C
6,D:maj,D
6,D:maj,C
6,D:maj,A
6,D:maj,G
7,A:min,A
7,A:min,C
8,D:maj,G
9,A:min,A
9,A:min,A
9,A:min,A
9,A:min,A
9,A:min,A
9,A:min,A
9,A:min,C
9,A:min,D
10,D:maj,D#
10,D:maj,C
10,D:maj,D
10,D:maj,C
10,D:maj,D
10,D:maj,C
10,D:maj,A
10,D:maj,G
11,A:min,A
11,A:min,C
13,A:min,A
13,A:min,A
13,A:min,A
13,A:min,A
13,A:min,A
13,A:min,C
13,A:min,D
14,A:min,E
14,A:min,C
14,A:min,D
14,A:min,C
14,A:min,A
14,A:min,C
14,A:min,D
15,D:maj,D
15,D:maj,C
15,D:maj,D
16,D:min,D#
16,D:min,D
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,C
17,A:min,D
18,D:maj,D#
18,D:maj,C
18,D:maj,D
18,D:maj,C
18,D:maj,D
18,D:maj,C
19,A:min,A
20,D:maj,G
21,A:min,A
21,A:min,A
21,A:min,A
21,A:min,A
21,A:min,E
21,A:min,A
21,A:min,C
21,A:min,D#
22,D:maj,D#
22,D:maj,C
22,D:maj,D
22,D:maj,C
22,D:maj,D
22,D:maj,C
22,D:maj,A
22,D:maj,G
23,A:min,A
23,A:min,C
24,D:maj,E
24,D:maj,G
24,D:maj,A
25,A:min,A
25,A:min,A
25,A:min,A
25,A:min,A
25,A:min,A
25,A:min,C
25,A:min,D
26,D:maj,D#
26,D:maj,C
26,D:maj,D
26,D:maj,C
26,D:maj,D
26,D:maj,C
26,D:maj,A
26,D:maj,G
27,A:min,A
27,A:min,C
29,A:min,A
29,A:min,A
29,A:min,A
29,A:min,D
29,A:min,A
29,A:min,C
29,A:min,D
30,A:min,E
30,A:min,D
30,A:min,C
30,A:min,A
30,A:min,A
30,A:min,C
30,A:min,D
31,D:maj,D
31,D:maj,D#
31,D:maj,D#
31,D:maj,C
32,D:min,D#
32,D:min,D#
32,D:min,A
33,A:min,A
33,A:min,A
33,A:min,A
33,A:min,A
33,A:min,A
33,A:min,A
33,A:min,C
33,A:min,D
34,D:maj,D#
34,D:maj,C
34,D:maj,D
34,D:maj,C
34,D:maj,D
34,D:maj,C
35,A:min,A
36,E:min,G
36,E:min,A
36,E:min,G
36,E:min,B
37,A:min,A
37,A:min,A
37,A:min,A
38,D:maj,D
38,D:maj,C
38,D:maj,D
38,D:maj,C
38,D:maj,C
38,D:maj,A
38,D:maj,G
39,A:min,A
39,A:min,C
40,D:maj,A
40,D:maj,A
40,D:maj,A
40,D:maj,A
40,D:maj,A
40,D:maj,A
40,D:maj,C
40,D:maj,E
41,A:min,C
41,A:min,E
41,A:min,G
41,A:min,C
41,A:min,E
41,A:min,G
41,A:min,E
41,A:min,G
42,D:maj,G
42,D:maj,E
42,D:maj,E
42,D:maj,G
42,D:maj,E
42,D:maj,G
42,D:maj,G
42,D:maj,G
42,D:maj,E
42,D:maj,D
43,A:min,G
43,A:min,E
43,A:min,D
43,A:min,C
44,D:maj,A
44,D:maj,A
44,D:maj,A
44,D:maj,A
44,D:maj,A
44,D:maj,A
44,D:maj,C
44,D:maj,C
44,D:maj,C
44,D:maj,D#
45,A:min,A
45,A:min,C
45,A:min,D
45,A:min,E
45,A:min,D
45,A:min,C
45,A:min,A
45,A:min,C
46,A:min,E
46,A:min,D
46,A:min,C
46,A:min,A
46,A:min,E
46,A:min,D
46,A:min,C
46,A:min,A
47,D:maj,C
47,D:maj,D
48,D:min,C
48,D:min,C
49,A:min,A
49,A:min,D
49,A:min,D
49,A:min,C
49,A:min,C
49,A:min,A
49,A:min,C
49,A:min,A
50,D:maj,D#
50,D:maj,D
50,D:maj,D
50,D:maj,C
50,D:maj,C
50,D:maj,G
50,D:maj,A
50,D:maj,G
51,A:min,A
51,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,C
53,A:min,D
54,D:maj,D#
54,D:maj,C
54,D:maj,D
54,D:maj,C
54,D:maj,D
54,D:maj,C
54,D:maj,A
54,D:maj,G
55,A:min,A
55,A:min,C
56,D:maj,G
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,C
57,A:min,D
58,D:maj,D#
58,D:maj,C
58,D:maj,D
58,D:maj,C
58,D:maj,D
58,D:maj,C
58,D:maj,A
58,D:maj,G
59,A:min,A
59,A:min,C
61,A:min,A
61,A:min,A
61,A:min,A
61,A:min,A
61,A:min,A
61,A:min,C
61,A:min,D
62,A:min,E
62,A:min,D
62,A:min,C
62,A:min,A
62,A:min,A
62,A:min,C
62,A:min,D
63,D:maj,D#
63,D:maj,C
64,D:min,D#
64,D:min,D#
64,D:min,A
65,A:min,A
65,A:min,A
65,A:min,A
65,A:min,A
65,A:min,A
65,A:min,A
65,A:min,C
65,A:min,D
66,D:maj,D#
66,D:maj,C
66,D:maj,D
66,D:maj,C
66,D:maj,D
66,D:maj,C
67,A:min,A
68,D:maj,A
68,D:maj,A
69,A:min,A
69,A:min,A
69,A:min,G
69,A:min,A
69,A:min,C
70,D:maj,C
70,D:maj,A
70,D:maj,A
70,D:maj,A
70,D:maj,A
70,D:maj,E
70,D:maj,G
71,A:min,A
71,A:min,A
72,D:maj,D#
72,D:maj,C
72,D:maj,D
72,D:maj,C
72,D:maj,D
72,D:maj,C
73,A:min,A
73,A:min,A
74,D:maj,D#
74,D:maj,C
74,D:maj,D
74,D:maj,C
74,D:maj,D
74,D:maj,C
75,A:min,A
75,A:min,A
76,D:maj,D#
76,D:maj,C
76,D:maj,D
76,D:maj,C
76,D:maj,D
76,D:maj,C
77,A:min,A
78,A:min,A
