measure,chord,note
2,C:maj,A
2,C:maj,G
2,C:maj,E
3,F:min,D
3,F:min,C
4,C:maj,E
4,C:maj,G
5,C:maj,G
5,C:maj,E
5,C:maj,G
6,C:maj,B
6,C:maj,A
6,C:maj,G
7,F:min,C
7,F:min,D
8,C:maj,E
9,C:maj,E
10,F:maj,D
10,F:maj,C
10,F:maj,A
11,F:min,G
11,F:min,C
12,C:maj,E
12,C:maj,G
13,C:maj,G
13,C:maj,E
13,C:maj,G
14,F:maj,A
14,F:maj,G
14,F:maj,E
15,F:min,D
15,F:min,C
16,C:maj,E
16,C:maj,C
16,C:maj,C
17,C:maj,C
17,C:maj,E
17,C:maj,G
18,C:maj,A
18,C:maj,G
18,C:maj,E
19,F:min,D
19,F:min,C
20,C:maj,E
20,C:maj,G
21,C:maj,G
21,C:maj,E
21,C:maj,G
22,C:maj,B
22,C:maj,A
22,C:maj,G
23,F:min,C
23,F:min,D
24,C:maj,E
25,C:maj,E
26,F:maj,D
26,F:maj,C
26,F:maj,A
27,F:min,G
27,F:min,C
28,C:maj,E
28,C:maj,G
29,C:maj,G
29,C:maj,E
29,C:maj,G
30,F:maj,A
30,F:maj,G
30,F:maj,E
31,F:min,D
31,F:min,C
32,C:maj,E
32,C:maj,C
32,C:maj,C
33,C:maj,C
33,C:maj,G
34,D:min,A
34,D:min,A
35,G:maj,A
35,G:maj,A
36,C:maj,G
36,C:maj,E
37,C:maj,E
37,C:maj,G
38,D:min,A
38,D:min,G
38,D:min,A
39,F:min,C
39,F:min,D
40,C:maj,E
41,C:maj,E
41,C:maj,C
42,A:min,C
42,A:min,A
42,A:min,B
43,G#:maj,C
43,G#:maj,D
44,C:maj,C
44,C:maj,A
45,A:min,A
45,A:min,B
46,A:min,C
46,A:min,C
46,A:min,A
47,D:maj,B
47,D:maj,C
48,G:maj,D
49,G:maj,D
49,G:maj,E
49,G:maj,D
50,C:maj,C
50,C:maj,A
50,C:maj,G
51,F:min,E
51,F:min,C
52,C:maj,E
52,C:maj,G
53,C:maj,G
53,C:maj,E
53,C:maj,G
54,C:maj,B
54,C:maj,A
54,C:maj,G
55,F:min,C
55,F:min,D
56,C:maj,E
57,C:maj,E
58,F:maj,D
58,F:maj,C
58,F:maj,A
59,F:min,G
59,F:min,C
60,C:maj,E
60,C:maj,G
61,C:maj,G
61,C:maj,E
61,C:maj,G
62,F:maj,A
62,F:maj,G
62,F:maj,E
63,F:min,D
63,F:min,C
64,C:maj,E
64,C:maj,C
65,C:maj,C
