measure,chord,note
2,G:min,A#
2,G:min,A
2,G:min,A#
2,G:min,A
3,C:maj,A#
3,C:maj,A
3,C:maj,G
4,F:maj,A
4,F:maj,G
4,F:maj,A
4,F:maj,G
5,F:maj,A
5,F:maj,G
5,F:maj,F
5,F:maj,A
6,G:min,G
6,G:min,F
6,G:min,G
6,G:min,F
7,C:maj,G
7,C:maj,F
7,C:maj,E
7,C:maj,G
8,F:maj,F
8,F:maj,E
8,F:maj,F
8,F:maj,E
9,F:maj,F
9,F:maj,G
9,F:maj,A
10,D:maj,A
11,D:maj,A
11,D:maj,C
12,G:min,D
12,G:min,C
12,G:min,D
12,G:min,C
13,C:maj,D
13,C:maj,C
13,C:maj,C
14,F:maj,D
14,F:maj,C
14,F:maj,D
14,F:maj,C
15,F:maj,D
15,F:maj,C
15,F:maj,C
16,F:maj,A
16,F:maj,C
16,F:maj,D
16,F:maj,F
17,G:min,G
17,G:min,F
17,G:min,D
17,G:min,C
18,D:min,D
19,D:min,D
19,D:min,C
20,D:min,D
21,D:min,D
21,D:min,C
22,F:maj,A
22,F:maj,C
22,F:maj,D
22,F:maj,F
23,G:min,G
23,G:min,F
23,G:min,D
23,G:min,C
24,D:min,D
24,D:min,D
24,D:min,D
25,D:min,D
