measure,chord,note
1,F:maj,A
2,F:maj,A
3,F:maj,A
3,F:maj,G
3,F:maj,G
3,F:maj,F
4,F:maj,A
4,F:maj,G
4,F:maj,G
4,F:maj,F
5,A#:maj,G
6,G:min,F
6,G:min,D
7,F:maj,C
7,F:maj,F
8,F:maj,F
8,F:maj,G
8,F:maj,A
8,F:maj,A#
9,F:maj,C
10,A:maj,C#
11,A#:maj,D
12,A#:maj,A#
12,A#:maj,C
12,A#:maj,C#
13,G:min,D
14,C:maj,E
15,F:maj,F
15,F:maj,E
15,F:maj,D
15,F:maj,C
16,F:maj,D
16,F:maj,C
16,F:maj,B
16,F:maj,A#
17,F:maj,A
18,F:maj,A
19,F:maj,A
19,F:maj,G
19,F:maj,G
19,F:maj,F
20,F:maj,A
20,F:maj,G
20,F:maj,G
20,F:maj,F
21,A#:maj,G
22,G:min,F
22,G:min,D
23,F:maj,C
23,F:maj,F
24,F:maj,F
24,F:maj,G
24,F:maj,A
24,F:maj,A#
25,F:maj,C
26,A:maj,C#
27,A#:maj,E
27,A#:maj,D
27,A#:maj,C#
27,A#:maj,D
28,G:min,D
28,G:min,D#
29,C:maj,E
29,C:maj,D
29,C:maj,C
29,C:maj,A#
30,F:maj,A
30,F:maj,G
30,F:maj,F
31,F:maj,F
32,F:maj,F
