measure,chord,note
1,C:maj,A
1,C:maj,G
1,C:maj,E
2,C:maj,D
2,C:maj,C
2,C:maj,G
3,A:maj,F
4,A:maj,E
5,D:maj,A
5,D:maj,B
5,D:maj,C
6,D:min,D
6,D:min,E
7,C:maj,C
8,G:maj,C
8,G:maj,G
9,C:maj,A
9,C:maj,G
9,C:maj,E
10,C:maj,D
10,C:maj,C
10,C:maj,G
11,A:maj,F
12,A:maj,E
13,D:maj,A
13,D:maj,B
13,D:maj,C
14,D:maj,D
14,D:maj,E
14,D:maj,C
15,D:min,D
16,G:maj,D
16,G:maj,C
16,G:maj,D
17,C:maj,E
17,C:maj,D
17,C:maj,E
18,C:maj,D
18,C:maj,C
19,F:maj,E
19,F:maj,D
19,F:maj,E
20,F:maj,D
21,D:maj,D
21,D:maj,E
21,D:maj,D
22,D:maj,A
22,D:maj,B
22,D:maj,C
23,G:maj,E
23,G:maj,D
23,G:maj,C#
24,G:maj,D
24,G:maj,G
25,C:maj,A
25,C:maj,G
25,C:maj,E
26,C:maj,D
26,C:maj,C
26,C:maj,G
27,A:maj,F
28,A:maj,E
29,D:maj,A
29,D:maj,B
29,D:maj,C
30,D:min,D
30,D:min,E
30,D:min,G
31,C:maj,C
31,C:maj,E
32,A:maj,E
33,D:maj,A
33,D:maj,B
33,D:maj,C
34,G:maj,D
34,G:maj,E
35,C:maj,C
36,G:maj,G
37,C:maj,C
38,C:maj,C
