measure,chord,note
1,F:maj,F
1,F:maj,F
1,F:maj,E
1,F:maj,D
1,F:maj,E
1,F:maj,E
1,F:maj,E
2,D:maj,E
2,D:maj,G
2,D:maj,E
2,D:maj,E
2,D:maj,E
2,D:maj,E
2,D:maj,F
3,F:maj,E
3,F:maj,C
3,F:maj,C
3,F:maj,F
3,F:maj,F
3,F:maj,E
4,C:maj,E
4,C:maj,E
5,G:maj,E
5,G:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,F
5,G:maj,E
6,D:min,E
6,D:min,C
6,D:min,C
7,F:maj,C
7,F:maj,C
7,F:maj,C
7,F:maj,D
8,C:maj,E
8,C:maj,F
8,C:maj,F
8,C:maj,E
8,C:maj,E
9,G:maj,E
9,G:maj,G
9,G:maj,G
9,G:maj,E
9,G:maj,E
9,G:maj,G
10,G:maj,G
10,G:maj,E
10,G:maj,E
11,F:maj,E
12,C:maj,E
12,C:maj,G
12,C:maj,E
12,C:maj,E
12,C:maj,G
12,C:maj,G
12,C:maj,E
12,C:maj,E
12,C:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,E
13,G:maj,C
14,D:min,C
14,D:min,C
14,D:min,D
15,D:min,E
15,D:min,E
15,D:min,C
15,D:min,C
15,D:min,D
16,C:maj,E
16,C:maj,F
16,C:maj,E
16,C:maj,C
16,C:maj,D
17,G:maj,E
17,G:maj,D
17,G:maj,E
17,G:maj,D
17,G:maj,E
17,G:maj,G
18,D:min,G
18,D:min,E
18,D:min,E
19,D:min,E
19,D:min,E
19,D:min,E
20,C:maj,G
20,C:maj,E
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,E
21,G:maj,G
21,G:maj,E
21,G:maj,E
21,G:maj,E
21,G:maj,E
21,G:maj,E
22,D:min,E
22,D:min,C
22,D:min,C
22,D:min,C
22,D:min,C
22,D:min,D
23,D:min,E
24,F:maj,C
24,F:maj,E
24,F:maj,E
24,F:maj,G
24,F:maj,F
24,F:maj,E
25,A:min,E
25,A:min,E
25,A:min,E
25,A:min,E
25,A:min,G
25,A:min,F
26,F:maj,E
26,F:maj,G
26,F:maj,E
26,F:maj,D
27,A:min,E
27,A:min,G
27,A:min,E
27,A:min,F
28,F:maj,E
28,F:maj,F
28,F:maj,E
28,F:maj,D
28,F:maj,C
28,F:maj,G
28,F:maj,E
29,A:min,E
29,A:min,F
30,F:maj,E
30,F:maj,F
30,F:maj,E
30,F:maj,D
30,F:maj,C
30,F:maj,G
31,A:min,G
31,A:min,E
31,A:min,E
32,F:maj,E
32,F:maj,F
32,F:maj,E
32,F:maj,D
32,F:maj,C
32,F:maj,G
32,F:maj,E
33,A:min,E
34,A:min,A
34,A:min,A
34,A:min,A
34,A:min,G
34,A:min,A
