measure,chord,note
1,A:min,A
1,A:min,B
1,A:min,A
1,A:min,B
1,A:min,A
1,A:min,B
1,A:min,B
1,A:min,C
2,F:maj,D
2,F:maj,E
2,F:maj,E
2,F:maj,C
2,F:maj,C
2,F:maj,C
3,A:min,A
3,A:min,B
3,A:min,A
3,A:min,B
3,A:min,B
3,A:min,A
3,A:min,A
3,A:min,B
3,A:min,C
4,F:maj,C
4,F:maj,A
4,F:maj,A
5,C:min,G
5,C:min,G
5,C:min,D#
5,C:min,D#
5,C:min,D#
5,C:min,F
5,C:min,D#
5,C:min,D#
6,A#:maj,F
6,A#:maj,D
6,A#:maj,D
6,A#:maj,D
6,A#:maj,C
6,A#:maj,D
7,G:min,D
7,G:min,B
7,G:min,F
7,G:min,F
9,A:min,A
9,A:min,B
9,A:min,A
9,A:min,B
9,A:min,A
9,A:min,B
9,A:min,C
10,F:maj,E
10,F:maj,C
10,F:maj,C
10,F:maj,C
11,A:min,A
11,A:min,B
11,A:min,A
11,A:min,B
11,A:min,A
11,A:min,A
11,A:min,B
11,A:min,C
13,C:min,G
13,C:min,G
13,C:min,D#
13,C:min,D#
13,C:min,F
13,C:min,D#
14,A#:maj,F
14,A#:maj,F
14,A#:maj,D
14,A#:maj,D
14,A#:maj,D
14,A#:maj,A#
15,F#:maj,F
17,D#:maj,A#
17,D#:maj,A#
17,D#:maj,D#
17,D#:maj,F
17,D#:maj,F
17,D#:maj,G
17,D#:maj,G
18,D:min,G
18,D:min,F
18,D:min,D
18,D:min,F
18,D:min,F
18,D:min,D
19,C:min,G
19,C:min,D#
19,C:min,D#
19,C:min,G
19,C:min,G
19,C:min,G
19,C:min,G
19,C:min,G
19,C:min,F
20,A#:maj,G
20,A#:maj,F
20,A#:maj,C
20,A#:maj,D
20,A#:maj,D
21,D#:maj,A#
21,D#:maj,C
21,D#:maj,D#
21,D#:maj,G
21,D#:maj,G
21,D#:maj,G
21,D#:maj,G
21,D#:maj,G
22,D:min,G
22,D:min,F
22,D:min,D
22,D:min,F
22,D:min,D
22,D:min,D
22,D:min,F
23,G:maj,A
23,G:maj,G
23,G:maj,G
23,G:maj,D
23,G:maj,D
23,G:maj,F
24,C:maj,G
24,C:maj,G
25,G:maj,A
25,G:maj,G
25,G:maj,G
25,G:maj,D
25,G:maj,D
25,G:maj,F
26,C:maj,G
26,C:maj,F
26,C:maj,E
26,C:maj,D
26,C:maj,C
26,C:maj,A
26,C:maj,G
27,C:maj,G
