measure,chord,note
1,C:maj,A
1,C:maj,E
1,C:maj,G
1,C:maj,G
1,C:maj,A
1,C:maj,A
1,C:maj,E
1,C:maj,G
2,G:min,A
2,G:min,E
2,G:min,G
2,G:min,G
2,G:min,A
2,G:min,A
2,G:min,E
2,G:min,G
3,F:maj,A
3,F:maj,E
3,F:maj,G
3,F:maj,G
3,F:maj,A
3,F:maj,A
3,F:maj,E
3,F:maj,G
4,F:min,E
4,F:min,C
4,F:min,C
4,F:min,D#
4,F:min,C
4,F:min,D
4,F:min,D
4,F:min,C
5,C:maj,A
5,C:maj,E
5,C:maj,G
5,C:maj,G
5,C:maj,A
5,C:maj,A
5,C:maj,E
5,C:maj,G
5,C:maj,A
6,G:maj,C
6,G:maj,C
6,G:maj,A
6,G:maj,G
6,G:maj,G
6,G:maj,E
6,G:maj,D
6,G:maj,C
6,G:maj,C
7,F:maj,A
7,F:maj,E
7,F:maj,G
7,F:maj,G
7,F:maj,A
7,F:maj,A
7,F:maj,E
7,F:maj,G
8,F:min,E
8,F:min,C
8,F:min,C
8,F:min,D#
8,F:min,C
8,F:min,D
8,F:min,D
8,F:min,C
9,C:maj,G
9,C:maj,C
9,C:maj,A
9,C:maj,G
9,C:maj,G
9,C:maj,F
9,C:maj,E
9,C:maj,E
9,C:maj,C
9,C:maj,E
9,C:maj,C
10,G:min,D#
10,G:min,D
10,G:min,D
11,F:maj,C
11,F:maj,G
11,F:maj,F
11,F:maj,F
11,F:maj,E
11,F:maj,D
11,F:maj,D
11,F:maj,C
11,F:maj,C
12,F:min,C
13,C:maj,C
13,C:maj,A
13,C:maj,G
13,C:maj,G
13,C:maj,F
13,C:maj,E
13,C:maj,E
13,C:maj,C
13,C:maj,D#
14,G:min,D#
14,G:min,D#
14,G:min,C
14,G:min,D
14,G:min,D
15,F:maj,C
15,F:maj,G
15,F:maj,F
15,F:maj,F
15,F:maj,E
15,F:maj,D
15,F:maj,D
15,F:maj,C
15,F:maj,C
16,F:min,C
16,F:min,C
16,F:min,G#
16,F:min,G
17,C:maj,G
17,C:maj,E
17,C:maj,D
17,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,D
18,C:maj,E
19,F:maj,E
19,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,D
20,E:min,D
20,E:min,B
20,E:min,B
20,E:min,B
20,E:min,E
21,F:maj,E
21,F:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,D
21,F:maj,E
21,F:maj,E
21,F:maj,C
21,F:maj,C
21,F:maj,D
22,E:min,D
22,E:min,B
22,E:min,B
22,E:min,B
22,E:min,E
22,E:min,D
22,E:min,C
22,E:min,E
23,F:maj,E
23,F:maj,C
23,F:maj,C
23,F:maj,C
23,F:maj,D
23,F:maj,E
23,F:maj,G
24,E:min,G
24,E:min,E
24,E:min,E
24,E:min,E
24,E:min,G
24,E:min,E
24,E:min,D
24,E:min,C
24,E:min,C
24,E:min,A
25,D:min,D
25,D:min,E
25,D:min,E
27,C:maj,A
27,C:maj,E
27,C:maj,G
27,C:maj,G
27,C:maj,A
27,C:maj,A
28,C:maj,A
28,C:maj,E
28,C:maj,G
28,C:maj,G
29,F:maj,A
29,F:maj,E
29,F:maj,G
29,F:maj,G
29,F:maj,A
29,F:maj,A
29,F:maj,G
29,F:maj,A
29,F:maj,C
30,A#:maj,C
30,A#:maj,C
30,A#:maj,G
30,A#:maj,E
30,A#:maj,E
30,A#:maj,D
30,A#:maj,C
31,C:maj,A
31,C:maj,E
31,C:maj,G
31,C:maj,G
31,C:maj,E
31,C:maj,G
32,C:maj,A
32,C:maj,E
32,C:maj,G
32,C:maj,G
32,C:maj,A
32,C:maj,A
32,C:maj,E
32,C:maj,G
33,F:maj,F
33,F:maj,E
33,F:maj,G
33,F:maj,G
33,F:maj,E
33,F:maj,G
33,F:maj,C
34,A#:maj,C
34,A#:maj,G#
34,A#:maj,E
34,A#:maj,G
34,A#:maj,G
35,C:maj,A
35,C:maj,E
35,C:maj,G
35,C:maj,G
35,C:maj,A
35,C:maj,A
35,C:maj,E
35,C:maj,G
36,C:maj,A
36,C:maj,E
36,C:maj,G
36,C:maj,G
36,C:maj,A
36,C:maj,A
36,C:maj,E
36,C:maj,G
37,F:maj,A
37,F:maj,E
37,F:maj,G
37,F:maj,G
37,F:maj,A
37,F:maj,A
37,F:maj,E
37,F:maj,G
38,A#:maj,E
38,A#:maj,C
38,A#:maj,C
38,A#:maj,D#
38,A#:maj,C
38,A#:maj,D
38,A#:maj,D
38,A#:maj,C
