measure,chord,note
2,C:maj,E
2,C:maj,D#
3,C:maj,E
3,C:maj,D
3,C:maj,C
3,C:maj,C
4,F:maj,D
4,F:maj,C
4,F:maj,D
4,F:maj,C
5,F:maj,D
5,F:maj,C
5,F:maj,A
5,F:maj,A
5,F:maj,G
6,C:maj,C
6,C:maj,G
6,C:maj,C
6,C:maj,E
7,A:maj,A
7,A:maj,G
7,A:maj,F
7,A:maj,E
8,D:maj,D
9,G:maj,G
9,G:maj,A
9,G:maj,G
10,C:maj,A
10,C:maj,G
11,C:maj,A
11,C:maj,G
11,C:maj,E
11,C:maj,E
11,C:maj,C
12,F:maj,D
12,F:maj,C
12,F:maj,D
12,F:maj,C
13,F:maj,A
13,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,D
14,C:maj,E
14,C:maj,G
14,C:maj,E
14,C:maj,G
15,D:maj,E
15,D:maj,C
15,D:maj,A
15,D:maj,A
15,D:maj,G
16,C:maj,C
16,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,B
17,C:maj,B
17,C:maj,B
17,C:maj,A
18,G:maj,G
18,G:maj,G
19,G:maj,G
19,G:maj,D
19,G:maj,D
19,G:maj,C
19,G:maj,B
20,C:maj,C
21,C:maj,C
21,C:maj,B
21,C:maj,B
21,C:maj,B
21,C:maj,A
22,G:maj,G
22,G:maj,D
23,G:maj,D
23,G:maj,D
23,G:maj,C
23,G:maj,C
23,G:maj,D
24,C:maj,E
25,C:maj,E
25,C:maj,F
25,C:maj,G
26,F:maj,A
26,F:maj,A
26,F:maj,A
26,F:maj,A
26,F:maj,F
27,F:min,E
27,F:min,D
27,F:min,D
27,F:min,E
27,F:min,E
27,F:min,F
28,C:maj,G
28,C:maj,A
28,C:maj,A
28,C:maj,G
28,C:maj,E
29,D:maj,D
29,D:maj,C
30,A:min,E
30,A:min,A
30,A:min,A
30,A:min,A
30,A:min,A
30,A:min,A
31,A:maj,E
31,A:maj,A
31,A:maj,A
31,A:maj,A
31,A:maj,A
31,A:maj,A
32,D:min,F
32,D:min,F
32,D:min,F
32,D:min,E
32,D:min,E
33,D:min,D
33,D:min,C
33,D:min,C
33,D:min,B
33,D:min,B
33,D:min,B
33,D:min,G
33,D:min,G
34,C:maj,C
34,C:maj,C
34,C:maj,E
34,C:maj,G
35,A:maj,A
36,A:maj,E
36,A:maj,F
36,A:maj,G
37,D:min,A
37,D:min,A
37,D:min,A
37,D:min,F
38,G:maj,E
38,G:maj,D
38,G:maj,C
38,G:maj,B
39,C:maj,C
39,C:maj,C
40,D:min,C
40,D:min,B
40,D:min,A
40,D:min,B
41,C:maj,C
41,C:maj,C
42,C:maj,C
42,C:maj,G
42,C:maj,A
42,C:maj,C
