measure,chord,note
1,G#:maj,C
1,G#:maj,G
1,G#:maj,C
1,G#:maj,F#
1,G#:maj,C
2,G#:maj,F
2,G#:maj,C
2,G#:maj,E
2,G#:maj,C
2,G#:maj,D#
2,G#:maj,C
3,G#:maj,D#
3,G#:maj,C
4,G#:maj,C
5,G#:maj,C
5,G#:maj,G
5,G#:maj,C
5,G#:maj,F#
5,G#:maj,C
6,G#:maj,F
6,G#:maj,C
6,G#:maj,E
6,G#:maj,C
6,G#:maj,E
6,G#:maj,C
7,F:maj,D#
7,F:maj,C
8,F:maj,C
9,A#:min,A#
9,A#:min,D#
9,A#:min,A#
9,A#:min,D#
9,A#:min,A#
10,D#:maj,D#
10,D#:maj,A#
10,D#:maj,D#
10,D#:maj,A#
10,D#:maj,D#
10,D#:maj,C#
11,G#:maj,C
11,G#:maj,A
12,G:maj,A
13,C:maj,E
13,C:maj,B
13,C:maj,E
13,C:maj,A#
13,C:maj,E
14,C:maj,A
14,C:maj,E
14,C:maj,A
14,C:maj,E
14,C:maj,G
14,C:maj,E
15,A:maj,G
15,A:maj,E
16,A:maj,E
17,D:min,E
17,D:min,B
17,D:min,E
17,D:min,A#
17,D:min,E
18,D:min,A
18,D:min,E
18,D:min,G#
18,D:min,E
18,D:min,G
18,D:min,E
19,A:maj,G
19,A:maj,E
20,A:maj,E
21,D:min,D
21,D:min,G
21,D:min,D
21,D:min,G
21,D:min,D
22,D:min,G
22,D:min,G
22,D:min,D
23,C:maj,A
23,C:maj,C
23,C:maj,A
23,C:maj,C
23,C:maj,A
24,C:maj,C
25,D:min,D
25,D:min,G
25,D:min,D
25,D:min,G
25,D:min,D
26,D:min,G
26,D:min,G
26,D:min,D
27,C:maj,A
27,C:maj,C
27,C:maj,A
27,C:maj,C#
27,C:maj,A
28,D#:maj,C
29,G#:maj,C
29,G#:maj,G
29,G#:maj,C
29,G#:maj,F#
29,G#:maj,C
30,G#:maj,F
30,G#:maj,C
30,G#:maj,E
30,G#:maj,C
30,G#:maj,D#
30,G#:maj,C
31,F:maj,D#
31,F:maj,C
32,F:maj,C
33,A#:maj,F
33,A#:maj,C
33,A#:maj,F
33,A#:maj,B
33,A#:maj,F
34,D#:maj,A#
34,D#:maj,A#
34,D#:maj,G#
34,D#:maj,B
34,D#:maj,A#
34,D#:maj,G#
35,G#:maj,G#
36,G#:maj,G#
