measure,chord,note
2,C:maj,E
2,C:maj,E
2,C:maj,C
2,C:maj,B
2,C:maj,C
2,C:maj,A
3,C:maj,G
3,C:maj,G
3,C:maj,E
3,C:maj,C
4,G:maj,B
4,G:maj,C
4,G:maj,D
4,G:maj,E
4,G:maj,F
4,G:maj,A
5,C:maj,A
5,C:maj,G
5,C:maj,F#
5,C:maj,G
5,C:maj,E
5,C:maj,E
5,C:maj,G
5,C:maj,C
6,F:maj,E
6,F:maj,E
6,F:maj,C
6,F:maj,B
6,F:maj,C
6,F:maj,A
7,C:maj,G
7,C:maj,G
7,C:maj,E
7,C:maj,C
8,G:maj,B
8,G:maj,C
8,G:maj,D
8,G:maj,E
8,G:maj,F
8,G:maj,G
8,G:maj,A
8,G:maj,B
9,C:maj,C
9,C:maj,C
9,C:maj,C
9,C:maj,E
9,C:maj,G
9,C:maj,C
10,F:maj,E
10,F:maj,E
10,F:maj,C
10,F:maj,B
10,F:maj,C
10,F:maj,A
11,C:maj,G
11,C:maj,G
11,C:maj,E
11,C:maj,C
12,G:maj,B
12,G:maj,C
12,G:maj,D
12,G:maj,E
12,G:maj,F
12,G:maj,A
13,C:maj,A
13,C:maj,G
13,C:maj,F#
13,C:maj,G
13,C:maj,E
13,C:maj,E
13,C:maj,G
13,C:maj,C
14,F:maj,E
14,F:maj,E
14,F:maj,C
14,F:maj,B
14,F:maj,C
14,F:maj,A
15,C:maj,G
15,C:maj,G
15,C:maj,E
15,C:maj,C
16,G:maj,B
16,G:maj,C
16,G:maj,D
16,G:maj,E
16,G:maj,F
16,G:maj,G
16,G:maj,A
16,G:maj,B
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,C:maj,G
18,C:maj,G
18,C:maj,E
18,C:maj,G
18,C:maj,C
18,C:maj,E
19,C:maj,G
19,C:maj,G
19,C:maj,E
20,G:maj,G
20,G:maj,F#
20,G:maj,F
20,G:maj,D
21,C:maj,A
21,C:maj,G
21,C:maj,G
21,C:maj,F#
21,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,E
22,C:maj,G
22,C:maj,C
22,C:maj,E
23,C:maj,G
23,C:maj,G
23,C:maj,E
24,G:maj,G
24,G:maj,F#
24,G:maj,F
24,G:maj,D
25,C:maj,C
25,C:maj,A
25,C:maj,C
25,C:maj,F
26,F:maj,A
26,F:maj,A
26,F:maj,F
26,F:maj,E
26,F:maj,F
26,F:maj,D
27,F:maj,C
27,F:maj,C
27,F:maj,A
27,F:maj,F
28,F:maj,E
28,F:maj,F
28,F:maj,G
28,F:maj,A
28,F:maj,A#
28,F:maj,D
29,F:maj,D
29,F:maj,C
29,F:maj,B
29,F:maj,C
29,F:maj,A
29,F:maj,A
29,F:maj,C
29,F:maj,F
30,F:maj,A
30,F:maj,A
30,F:maj,F
30,F:maj,E
30,F:maj,F
30,F:maj,D
31,F:maj,C
31,F:maj,C
31,F:maj,A
31,F:maj,F
32,F:maj,E
32,F:maj,F
32,F:maj,G
32,F:maj,A
32,F:maj,A#
32,F:maj,C
32,F:maj,D
32,F:maj,E
33,F:maj,F
33,F:maj,F
33,F:maj,F
34,C:maj,E
34,C:maj,E
34,C:maj,E
34,C:maj,F
34,C:maj,G
35,C:maj,E
35,C:maj,E
35,C:maj,E
35,C:maj,F
35,C:maj,G
36,G:maj,F
36,G:maj,F
36,G:maj,F
36,G:maj,D
36,G:maj,B
37,G:maj,F
37,G:maj,E
37,G:maj,F
37,G:maj,G
37,G:maj,F
37,G:maj,D
37,G:maj,B
38,C:maj,E
38,C:maj,E
38,C:maj,E
38,C:maj,F
38,C:maj,G
39,C:maj,E
39,C:maj,E
39,C:maj,E
39,C:maj,F
39,C:maj,G
40,G:maj,F
40,G:maj,F
40,G:maj,F
40,G:maj,D
40,G:maj,B
40,G:maj,D
41,C:maj,C
42,C:maj,E
42,C:maj,E
42,C:maj,E
42,C:maj,F
42,C:maj,G
43,C:maj,E
43,C:maj,E
43,C:maj,E
43,C:maj,F
43,C:maj,G
44,G:maj,F
44,G:maj,F
44,G:maj,F
44,G:maj,D
44,G:maj,B
45,G:maj,F
45,G:maj,E
45,G:maj,F
45,G:maj,G
45,G:maj,F
45,G:maj,D
45,G:maj,B
46,C:maj,E
46,C:maj,E
46,C:maj,E
46,C:maj,F
46,C:maj,G
47,C:maj,E
47,C:maj,E
47,C:maj,E
47,C:maj,F
47,C:maj,G
48,G:maj,F
48,G:maj,F
48,G:maj,F
48,G:maj,D
48,G:maj,B
48,G:maj,D
49,C:maj,C
49,C:maj,B
49,C:maj,D
49,C:maj,G
