measure,chord,note
1,C:maj,C
2,C:maj,C
2,C:maj,C
3,C:maj,C
3,C:maj,B
3,C:maj,C
4,F:maj,D
4,F:maj,A
5,D:min,A
5,D:min,A
6,G:maj,B
6,G:maj,B
6,G:maj,B
7,G:maj,G
7,G:maj,B
7,G:maj,D
8,C:maj,C
9,C:maj,C
9,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
11,C:maj,C
11,C:maj,B
11,C:maj,C
12,F:maj,D
12,F:maj,A
13,D:min,A
13,D:min,A
13,D:min,A
14,G:maj,B
14,G:maj,B
14,G:maj,B
15,G:maj,G
15,G:maj,B
15,G:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,G
18,C:maj,G
18,C:maj,E
18,C:maj,E
19,C:maj,E
19,C:maj,D
19,C:maj,E
20,F:maj,F
20,F:maj,A
21,D:min,A
21,D:min,A
22,G:maj,G
22,G:maj,B
22,G:maj,D
23,G:maj,G
23,G:maj,C
23,G:maj,D
24,C:maj,E
25,C:maj,E
25,C:maj,E
25,C:maj,D
26,C:maj,C
26,C:maj,C
26,C:maj,C
27,C:maj,C
27,C:maj,B
27,C:maj,C
28,F:maj,D
28,F:maj,A
29,D:min,A
29,D:min,A
30,G:maj,B
30,G:maj,B
30,G:maj,B
31,G:maj,G
31,G:maj,B
31,G:maj,D
32,C:maj,C
33,C:maj,C
33,C:maj,E
33,C:maj,F
34,C:maj,G
35,D:min,A
35,D:min,B
36,C:maj,C
37,C:maj,C
38,A:maj,G
38,A:maj,G
39,A:maj,F
39,A:maj,E
40,D:min,A
41,D:min,A
41,D:min,G
42,G:maj,G
42,G:maj,G
43,G:maj,B
43,G:maj,C
44,G:maj,E
44,G:maj,D
45,G:maj,D
45,G:maj,G
46,C:maj,G
46,C:maj,G
47,F:maj,C
47,F:maj,D
48,C:maj,E
49,C:maj,E
49,C:maj,G
50,C:maj,G
50,C:maj,G
51,D:min,A
51,D:min,B
52,C:maj,D
52,C:maj,C
53,C:maj,C
53,C:maj,G
54,A:maj,G
54,A:maj,G
55,A:maj,F
55,A:maj,E
56,D:min,A
57,D:min,A
57,D:min,G
57,D:min,G
58,C:maj,C
58,C:maj,C
58,C:maj,C
59,C:maj,C
59,C:maj,B
59,C:maj,C
60,F:maj,D
60,F:maj,A
61,D:min,A
61,D:min,A
61,D:min,A
62,G:maj,G
62,G:maj,F
63,G:maj,E
63,G:maj,D
64,C:maj,C
