measure,chord,note
1,C:maj,E
1,C:maj,G
2,C:maj,A
2,C:maj,C
3,G:maj,B
3,G:maj,F
4,G:maj,A
5,G:maj,B
5,G:maj,F
6,G:maj,A
6,G:maj,C
7,C:maj,B
7,C:maj,A
8,C:maj,A
9,D:min,F
9,D:min,A
10,G:maj,B
10,G:maj,D
11,D:min,C
11,D:min,A
12,G:maj,B
13,D:min,C
13,D:min,A
14,G:maj,B
14,G:maj,D
15,C:maj,C
15,C:maj,A
16,D:min,A
17,C:maj,E
17,C:maj,G
18,C:maj,A
18,C:maj,C
19,C:maj,B
19,C:maj,G
20,C:maj,A
21,C:maj,G
21,C:maj,A
22,G:min,C
22,G:min,E
23,F:maj,E
23,F:maj,D
24,F:maj,D
25,F:maj,E
25,F:maj,D
26,A#:maj,F
26,A#:maj,E
27,A:min,D
27,A:min,C
28,D:maj,E
28,D:maj,B
29,D:min,A
29,D:min,B
30,G:maj,G
30,G:maj,D
31,C:maj,C
33,C:maj,C
