measure,chord,note
0,A#:maj,G
1,C:maj,C
1,C:maj,B
1,C:maj,C
1,C:maj,D
1,C:maj,E
1,C:maj,G
1,C:maj,F
1,C:maj,E
2,G:maj,D
2,G:maj,C
2,G:maj,D
2,G:maj,E
2,G:maj,C
2,G:maj,E
2,G:maj,F
3,C:maj,G
3,C:maj,C
3,C:maj,B
3,C:maj,C
3,C:maj,A
3,C:maj,G
3,C:maj,F
3,C:maj,E
4,F:maj,F
4,F:maj,A
4,F:maj,G
4,F:maj,E
4,F:maj,D
4,F:maj,E
4,F:maj,F
5,C:maj,G
5,C:maj,C
5,C:maj,B
5,C:maj,D
5,C:maj,C
5,C:maj,B
5,C:maj,A
6,C:maj,G
6,C:maj,A
6,C:maj,G
6,C:maj,F
6,C:maj,E
6,C:maj,D
6,C:maj,C
7,G:maj,D
7,G:maj,E
7,G:maj,F
7,G:maj,D
7,G:maj,G
7,G:maj,F
7,G:maj,D
7,G:maj,B
8,C:maj,C
8,C:maj,C
8,C:maj,C
8,C:maj,C
9,C:maj,E
9,C:maj,F
10,F:maj,A
10,F:maj,C
10,F:maj,C
10,F:maj,B
10,F:maj,C
10,F:maj,B
10,F:maj,A
11,C:maj,G
11,C:maj,A
11,C:maj,G
11,C:maj,F
11,C:maj,E
11,C:maj,D
11,C:maj,C
12,G:maj,D
12,G:maj,E
12,G:maj,F
12,G:maj,D
12,G:maj,A
12,G:maj,G
12,G:maj,F
12,G:maj,E
13,G:maj,D
13,G:maj,G
13,G:maj,G
13,G:maj,G
13,G:maj,E
13,G:maj,F
14,C:maj,G
14,C:maj,C
14,C:maj,C
14,C:maj,B
14,C:maj,C
14,C:maj,B
14,C:maj,A
15,C:maj,G
15,C:maj,A
15,C:maj,G
15,C:maj,F
15,C:maj,E
15,C:maj,D
15,C:maj,C
16,G:maj,D
16,G:maj,E
16,G:maj,F
16,G:maj,D
16,G:maj,G
16,G:maj,F
16,G:maj,D
16,G:maj,B
17,G:maj,C
17,G:maj,C
17,G:maj,C
17,G:maj,C
