measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,E
2,C:maj,E
2,C:maj,C
3,F:maj,F
3,F:maj,G
3,F:maj,A
3,F:maj,A
3,F:maj,A
4,F:maj,A
4,F:maj,E
5,C:maj,G
5,C:maj,A
5,C:maj,B
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,A:min,C
6,A:min,C
6,A:min,B
6,A:min,G
7,F:maj,A
7,F:maj,D
7,F:maj,D
7,F:maj,D
7,F:maj,D
8,D:min,D
8,D:min,G
9,F:maj,A
9,F:maj,D
9,F:maj,D
9,F:maj,D
9,F:maj,D
9,F:maj,C
10,C:maj,E
10,C:maj,D
10,C:maj,A
10,C:maj,G
11,C:maj,A
11,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,A
12,A:min,C
12,A:min,G
12,A:min,A
12,A:min,G
13,F:maj,A
13,F:maj,D
13,F:maj,D
13,F:maj,D
13,F:maj,D
13,F:maj,C
14,G:maj,E
14,G:maj,C
14,G:maj,D
14,G:maj,C
14,G:maj,B
15,C:min,C
15,C:min,G
15,C:min,G#
15,C:min,F
15,C:min,G
16,C:min,G
16,C:min,F
16,C:min,G
16,C:min,G#
17,F:min,G#
17,F:min,G
17,F:min,F
17,F:min,F
18,F:min,F
18,F:min,G
18,F:min,G#
18,F:min,A#
19,F:min,A#
19,F:min,G#
19,F:min,G
19,F:min,G#
20,F:min,G#
20,F:min,A#
20,F:min,C
20,F:min,D
21,D:maj,D
22,G:maj,D
22,G:maj,D#
22,G:maj,D
22,G:maj,C
23,C:maj,C
24,C:maj,C
26,D:min,D
27,F:min,D
28,F:min,D
29,G:maj,D
29,G:maj,D#
29,G:maj,D
29,G:maj,C
30,C:maj,C
31,C:maj,C
31,C:maj,C
33,C:min,C
33,C:min,G
33,C:min,G#
33,C:min,G#
33,C:min,F
34,C:min,G
34,C:min,F
34,C:min,G
35,F:min,G#
35,F:min,G
35,F:min,F
35,F:min,F
36,F:min,F
36,F:min,G
36,F:min,G#
36,F:min,A#
37,F:min,A#
37,F:min,G#
37,F:min,G
37,F:min,G#
38,F:min,A
38,F:min,A#
38,F:min,C
38,F:min,D
39,D:maj,D
40,D:maj,D
41,F:min,D
41,F:min,D#
41,F:min,D
41,F:min,C
42,A#:maj,C
43,A#:maj,C
44,A#:maj,C
