measure,chord,note
1,F:maj,D
1,F:maj,E
1,F:maj,D
1,F:maj,E
1,F:maj,D
2,F:maj,E
2,F:maj,C
2,F:maj,A
2,F:maj,E
3,D#:min,D
4,D#:min,D
5,D:min,A
5,D:min,C
5,D:min,A
5,D:min,C
5,D:min,A
6,D:min,A
6,D:min,G
6,D:min,E
6,D:min,D
7,C:maj,E
8,C:maj,E
8,C:maj,D
9,F:maj,E
9,F:maj,D
9,F:maj,E
9,F:maj,D
9,F:maj,E
9,F:maj,D
10,F:maj,E
10,F:maj,C
10,F:maj,A
10,F:maj,E
11,D#:min,D
12,D#:min,D
12,D#:min,A
13,D:min,C
13,D:min,A
13,D:min,C
13,D:min,A
13,D:min,C
13,D:min,A
14,G:maj,A
14,G:maj,G
14,G:maj,B
15,C:maj,C
16,G:maj,G
16,G:maj,A
16,G:maj,B
17,C:maj,C
18,C:maj,B
18,C:maj,G
19,F:maj,A
20,F:maj,A
21,G:maj,B
21,G:maj,B
21,G:maj,B
22,G:maj,B
22,G:maj,A
22,G:maj,G
23,C:maj,F#
23,C:maj,A
23,C:maj,G
24,C:maj,G
25,C:maj,E
26,C:maj,D
26,C:maj,C
27,F:maj,D
27,F:maj,C
28,F:maj,D
28,F:maj,F
29,D:min,A
29,D:min,A
29,D:min,A
30,G:maj,G
30,G:maj,B
31,C:maj,B
31,C:maj,C
