measure,chord,note
2,C:maj,E
2,C:maj,E
2,C:maj,E
2,C:maj,E
3,G:maj,D
3,G:maj,C
3,G:maj,D
3,G:maj,E
4,F:maj,E
4,F:maj,C
4,F:maj,A
5,F:maj,C
5,F:maj,D
5,F:maj,E
5,F:maj,E
5,F:maj,D
5,F:maj,C
6,C:maj,E
6,C:maj,E
6,C:maj,E
6,C:maj,E
7,G:maj,D
7,G:maj,C
7,G:maj,D
7,G:maj,C
8,F:maj,A
9,F:maj,C
9,F:maj,D
9,F:maj,E
9,F:maj,E
9,F:maj,D
9,F:maj,C
10,C:maj,E
10,C:maj,G
10,C:maj,G
10,C:maj,E
10,C:maj,A
11,G:maj,A
11,G:maj,G
11,G:maj,A
11,G:maj,A
12,F:maj,A
12,F:maj,G
12,F:maj,E
12,F:maj,E
12,F:maj,D
12,F:maj,D
13,F:maj,D
13,F:maj,E
13,F:maj,C
13,F:maj,A
13,F:maj,A
13,F:maj,C
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,E
15,E:maj,D
15,E:maj,C
15,E:maj,D
15,E:maj,E
16,F:maj,E
16,F:maj,C
16,F:maj,A
17,F:maj,C
17,F:maj,C
17,F:maj,D
18,C:maj,E
18,C:maj,D
18,C:maj,E
18,C:maj,E
18,C:maj,E
19,G:maj,D
19,G:maj,D
19,G:maj,C
19,G:maj,E
19,G:maj,D
20,F:maj,D
20,F:maj,C
20,F:maj,D
20,F:maj,C
20,F:maj,D
20,F:maj,D
20,F:maj,C
21,F:maj,D
21,F:maj,D
21,F:maj,C
21,F:maj,E
21,F:maj,D
22,C:maj,E
22,C:maj,G
22,C:maj,G
22,C:maj,A
23,G:maj,D
23,G:maj,D
23,G:maj,C
23,G:maj,E
23,G:maj,C
24,F:maj,A
25,F:maj,C
25,F:maj,C
25,F:maj,D
26,C:maj,E
26,C:maj,D
26,C:maj,E
26,C:maj,D
26,C:maj,E
26,C:maj,F
27,G:maj,D
27,G:maj,C
27,G:maj,D
27,G:maj,C
27,G:maj,E
27,G:maj,D
28,F:maj,D
28,F:maj,C
28,F:maj,D
28,F:maj,C
28,F:maj,D
28,F:maj,C
28,F:maj,D
28,F:maj,C
29,F:maj,D
29,F:maj,C
29,F:maj,D
29,F:maj,C
29,F:maj,E
29,F:maj,D
29,F:maj,C
30,C:maj,E
30,C:maj,G
30,C:maj,G
30,C:maj,A
31,G:maj,D
31,G:maj,C
31,G:maj,D
31,G:maj,E
32,F:maj,E
32,F:maj,C
32,F:maj,A
33,F:maj,C
33,F:maj,E
34,D:min,F
34,D:min,F
34,D:min,F
34,D:min,E
35,E:min,G
35,E:min,G
35,E:min,E
35,E:min,E
36,F:maj,A
36,F:maj,G
36,F:maj,G
36,F:maj,G
36,F:maj,A
36,F:maj,E
37,G:maj,D
37,G:maj,C
38,G:maj,F
38,G:maj,E
38,G:maj,D
38,G:maj,C
39,C:maj,C
