measure,chord,note
2,A:min,C
2,A:min,B
2,A:min,G
2,A:min,E
3,G:maj,A
3,G:maj,A
3,G:maj,E
4,C:maj,G
4,C:maj,A
4,C:maj,A#
5,F:maj,A
6,C:maj,A
6,C:maj,B
6,C:maj,C
6,C:maj,G
6,C:maj,E
7,A:min,A
8,D:min,A
8,D:min,F
8,D:min,F
8,D:min,G
8,D:min,A
9,C:maj,G
10,F:maj,A
10,F:maj,B
10,F:maj,C
11,A:min,G
11,A:min,E
11,A:min,A
12,D:min,A
12,D:min,A
12,D:min,B
12,D:min,B
12,D:min,C
13,C:maj,C
13,C:maj,B
14,C:maj,C
15,F:maj,C
15,F:maj,C
15,F:maj,C
15,F:maj,C
15,F:maj,D
15,F:maj,C
15,F:maj,A
15,F:maj,A
16,C:maj,E
16,C:maj,G
16,C:maj,C
16,C:maj,E
16,C:maj,G
17,F:maj,C
17,F:maj,C
17,F:maj,C
17,F:maj,A
17,F:maj,D
17,F:maj,C
17,F:maj,A
17,F:maj,F
18,C:maj,E
18,C:maj,G
18,C:maj,C
18,C:maj,E
18,C:maj,G
18,C:maj,G
19,A:min,C
19,A:min,B
19,A:min,G
19,A:min,E
20,G:maj,A
20,G:maj,A
20,G:maj,A
21,C:maj,G
21,C:maj,A
21,C:maj,A#
22,F:maj,A
23,C:maj,A
23,C:maj,B
23,C:maj,C
23,C:maj,G
23,C:maj,E
24,A:min,A
25,D:min,A
25,D:min,F
25,D:min,F
25,D:min,G
25,D:min,A
26,C:maj,G
27,F:maj,A
27,F:maj,B
27,F:maj,C
28,A:min,G
28,A:min,E
28,A:min,A
29,D:min,A
29,D:min,A
29,D:min,B
29,D:min,B
29,D:min,C
30,C:maj,C
31,F:maj,G
31,F:maj,B
31,F:maj,C
31,F:maj,G
31,F:maj,A
31,F:maj,B
31,F:maj,C
31,F:maj,A
32,C:maj,B
32,C:maj,B
32,C:maj,C
32,C:maj,B
32,C:maj,C
32,C:maj,F
32,C:maj,A
32,C:maj,C
33,C:maj,G
33,C:maj,B
33,C:maj,C
33,C:maj,G
33,C:maj,A
33,C:maj,B
33,C:maj,C
33,C:maj,A
34,C:maj,B
34,C:maj,B
34,C:maj,C
34,C:maj,B
34,C:maj,C
34,C:maj,F
34,C:maj,A
34,C:maj,G
35,C:maj,C
36,G:maj,C
36,G:maj,D
36,G:maj,E
37,C:maj,E
