measure,chord,note
2,C:maj,E
2,C:maj,C
3,D:min,C
3,D:min,D
3,D:min,C
3,D:min,D
4,C:maj,E
5,C:maj,E
5,C:maj,C
5,C:maj,C
6,F:maj,A
6,F:maj,F
7,G:min,F
7,G:min,G
7,G:min,F
7,G:min,G
8,F:maj,A
9,F:maj,A
9,F:maj,A
9,F:maj,C
10,G:maj,B
10,G:maj,B
10,G:maj,A
10,G:maj,A
11,G:maj,G
11,G:maj,G
11,G:maj,F
11,G:maj,F
12,C:maj,E
13,A:maj,E
13,A:maj,E
13,A:maj,G
14,D:min,F
14,D:min,F
14,D:min,E
14,D:min,E
15,D:min,D
15,D:min,D
15,D:min,C
15,D:min,C
16,G:maj,G
17,D:min,G
17,D:min,G
17,D:min,G
18,C:maj,E
18,C:maj,C
19,D:min,C
19,D:min,D
19,D:min,C
19,D:min,D
20,C:maj,E
21,C:maj,E
21,C:maj,C
21,C:maj,C
22,F:maj,A
22,F:maj,F
23,G:min,F
23,G:min,G
23,G:min,F
23,G:min,G
24,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,C
26,G:maj,B
26,G:maj,B
26,G:maj,A
26,G:maj,A
27,G:maj,G
27,G:maj,G
27,G:maj,F
27,G:maj,F
28,G:min,E
29,A:maj,E
29,A:maj,A
29,A:maj,A
30,D:min,F
30,D:min,D
31,G:maj,D
31,G:maj,F
31,G:maj,E
31,G:maj,D
32,C:maj,C
33,C:maj,C
