measure,chord,note
2,C:maj,C
2,C:maj,C
2,C:maj,C
3,F:maj,C
3,F:maj,G
4,C:maj,C
4,C:maj,C
4,C:maj,C
4,C:maj,C
4,C:maj,B
4,C:maj,B
5,E:min,D
5,E:min,B
5,E:min,A
6,D:min,C
6,D:min,A
6,D:min,E
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,F
7,G:maj,E
8,C:maj,C
9,G:maj,G
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
11,F:maj,C
11,F:maj,G
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,B
12,C:maj,B
13,E:min,D
13,E:min,B
13,E:min,A
14,D:min,C
14,D:min,A
14,D:min,E
15,G:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,F
15,G:maj,E
16,C:maj,C
17,E:maj,E
18,A:min,C
18,A:min,C
18,A:min,B
18,A:min,D
18,A:min,B
19,A:min,A
19,A:min,E
19,A:min,E
19,A:min,E
20,A:min,C
20,A:min,E
20,A:min,C
20,A:min,B
20,A:min,D
20,A:min,A
20,A:min,A
21,A:min,A
21,A:min,E
21,A:min,E
21,A:min,E
21,A:min,E
21,A:min,E
22,A:min,E
22,A:min,E
22,A:min,E
22,A:min,E
22,A:min,C
22,A:min,D
22,A:min,C
23,G:maj,B
23,G:maj,D
23,G:maj,B
24,G:maj,A
24,G:maj,A
24,G:maj,A
24,G:maj,A
24,G:maj,A
24,G:maj,G
24,G:maj,G
25,G:maj,G
25,G:maj,D#
25,G:maj,E
25,G:maj,F
25,G:maj,F
25,G:maj,G
26,C:maj,C
26,C:maj,C
26,C:maj,C
26,C:maj,C
26,C:maj,C
27,C:maj,C
27,C:maj,F#
27,C:maj,F
27,C:maj,E
27,C:maj,G
28,D:min,C
28,D:min,C
28,D:min,C
28,D:min,C
28,D:min,B
28,D:min,B
29,F:maj,D
29,F:maj,B
29,F:maj,A
30,D:min,C
30,D:min,A
30,D:min,E
31,G:maj,G
31,G:maj,G
31,G:maj,G
31,G:maj,F
31,G:maj,E
32,C:maj,C
