measure,chord,note
1,G:maj,G
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,D
3,C:maj,E
3,C:maj,E
3,C:maj,D#
3,C:maj,E
3,C:maj,D
3,C:maj,C
4,G:maj,D
4,G:maj,D
4,G:maj,C#
4,G:maj,D
4,G:maj,C
4,G:maj,B
5,C:maj,E
5,C:maj,E
5,C:maj,D#
5,C:maj,E
5,C:maj,D
5,C:maj,C
5,C:maj,G
6,C:maj,C
6,C:maj,C
6,C:maj,C
6,C:maj,D
7,C:maj,E
7,C:maj,E
7,C:maj,D#
7,C:maj,E
7,C:maj,D
7,C:maj,C
8,G:maj,D
8,G:maj,D
8,G:maj,D
8,G:maj,E
8,G:maj,D
9,C:maj,C
9,C:maj,D
9,C:maj,E
9,C:maj,F
10,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,A
10,C:maj,A
11,C:maj,G
12,C:maj,E
12,C:maj,E
12,C:maj,E
12,C:maj,E
12,C:maj,F
12,C:maj,F
13,C:maj,E
13,C:maj,G
14,C:maj,C
14,C:maj,C
14,C:maj,C
14,C:maj,D
15,C:maj,E
15,C:maj,E
15,C:maj,D#
15,C:maj,E
15,C:maj,D
15,C:maj,C
16,G:maj,D
16,G:maj,D
16,G:maj,C#
16,G:maj,D
16,G:maj,C
16,G:maj,B
17,C:maj,E
17,C:maj,E
17,C:maj,D#
17,C:maj,E
17,C:maj,D
17,C:maj,C
17,C:maj,G
18,G:maj,C
18,G:maj,C
18,G:maj,C
18,G:maj,D
19,C:maj,E
19,C:maj,E
19,C:maj,D#
19,C:maj,E
19,C:maj,D
19,C:maj,C
20,G:maj,D
20,G:maj,D
20,G:maj,D
20,G:maj,D
20,G:maj,E
20,G:maj,D
21,C:maj,C
