measure,chord,note
1,C:maj,E
1,C:maj,E
2,C:maj,G
2,C:maj,F#
2,C:maj,A
2,C:maj,G
2,C:maj,G
2,C:maj,G
3,F:maj,F
3,F:maj,G#
3,F:maj,B
3,F:maj,A
3,F:maj,A
3,F:maj,A
4,G:maj,B
4,G:maj,A
4,G:maj,G
4,G:maj,F
4,G:maj,G
4,G:maj,F
5,C:maj,E
5,C:maj,E
5,C:maj,E
5,C:maj,F
6,F#:maj,G
6,F#:maj,F#
6,F#:maj,A
6,F#:maj,G
6,F#:maj,G
6,F#:maj,G
7,F:maj,A
7,F:maj,G#
7,F:maj,B
7,F:maj,A
7,F:maj,A
7,F:maj,A
8,G:maj,B
8,G:maj,A
8,G:maj,G
8,G:maj,F
8,G:maj,E
8,G:maj,D
9,C:maj,C
9,C:maj,C
10,G:maj,B
10,G:maj,C
11,G:maj,D
11,G:maj,D
11,G:maj,D
11,G:maj,D
11,G:maj,C
11,G:maj,B
12,C:maj,C
12,C:maj,D#
12,C:maj,F
12,C:maj,C
12,C:maj,C
12,C:maj,B
13,F:maj,A
13,F:maj,A
13,F:maj,A
13,F:maj,C
13,F:maj,B
13,F:maj,A
14,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,C
15,C:maj,E
15,C:maj,E
15,C:maj,E
15,C:maj,E
15,C:maj,F
15,C:maj,E
16,F:maj,A
16,F:maj,F
16,F:maj,F
16,F:maj,A
16,F:maj,F
16,F:maj,F
17,G:maj,E
17,G:maj,D
17,G:maj,C
17,G:maj,G
17,G:maj,B
17,G:maj,D
18,C:maj,C
19,C:maj,C
