measure,chord,note
2,C:maj,F
2,C:maj,G
2,C:maj,E
3,C:maj,C
3,C:maj,D
3,C:maj,E
4,F:maj,F
4,F:maj,A
4,F:maj,D
5,G:maj,B
5,G:maj,G
5,G:maj,B
6,C:maj,C
6,C:maj,G
6,C:maj,E
7,F:maj,F
7,F:maj,G
7,F:maj,A
8,C:maj,G
8,C:maj,C
8,C:maj,B
9,C:maj,C
9,C:maj,G
9,C:maj,G
10,C:maj,C
10,C:maj,G
10,C:maj,E
11,C:maj,C
11,C:maj,D
11,C:maj,E
12,F:maj,F
12,F:maj,A
12,F:maj,D
13,G:maj,B
13,G:maj,G
13,G:maj,B
14,C:maj,C
14,C:maj,G
14,C:maj,E
15,F:maj,F
15,F:maj,G
15,F:maj,A
16,C:maj,G
16,C:maj,C
16,C:maj,B
17,C:maj,C
17,C:maj,C
17,C:maj,D
18,C:maj,E
18,C:maj,C
18,C:maj,E
19,G:maj,D
19,G:maj,B
19,G:maj,G
20,D:maj,A
20,D:maj,A
20,D:maj,B
20,D:maj,C
20,D:maj,D
21,G:maj,B
21,G:maj,G
21,G:maj,G
22,C:maj,E
22,C:maj,C
22,C:maj,E
23,G:maj,D
23,G:maj,B
23,G:maj,G
24,C:maj,C
24,C:maj,B
24,C:maj,A
25,G:maj,G
25,G:maj,A
25,G:maj,B
26,C:maj,C
26,C:maj,G
26,C:maj,E
26,C:maj,D
27,C:maj,C
27,C:maj,D
27,C:maj,E
28,F:maj,F
28,F:maj,A
28,F:maj,D
28,F:maj,C
29,G:maj,B
29,G:maj,G
29,G:maj,A
29,G:maj,B
30,C:maj,C
30,C:maj,G
30,C:maj,E
31,F:maj,F
31,F:maj,G
31,F:maj,A
32,C:maj,G
32,C:maj,C
32,C:maj,B
33,C:maj,C
