measure,chord,note
2,F:maj,C
2,F:maj,C
2,F:maj,C
2,F:maj,F
3,G:min,C
3,G:min,C
3,G:min,C
3,G:min,C
4,C:maj,C
4,C:maj,F
4,C:maj,E
4,C:maj,C
5,F:maj,A
5,F:maj,A
6,F#:min,A
6,F#:min,A
6,F#:min,A
6,F#:min,D
7,E:min,A
7,E:min,A
7,E:min,A
7,E:min,A
8,A:maj,A
8,A:maj,D
8,A:maj,C#
8,A:maj,A
9,G:maj,D
9,G:maj,D
10,C:min,D#
10,C:min,D#
10,C:min,C
10,C:min,C
11,G:min,D
11,G:min,D#
11,G:min,D
11,G:min,B
11,G:min,D
12,E:min,B
12,E:min,C
12,E:min,B
12,E:min,A
12,E:min,G
13,D:min,A
13,D:min,G#
14,D:min,G
14,D:min,F
14,D:min,E
14,D:min,D
15,E:min,G
15,E:min,E
15,E:min,C
15,E:min,E
16,D:min,F
16,D:min,D
16,D:min,C
16,D:min,B
17,F:maj,C
18,C:maj,C
18,C:maj,E
18,C:maj,A
18,C:maj,B
18,C:maj,C
18,C:maj,E
19,B:min,F#
19,B:min,B
20,E:maj,G#
20,E:maj,F
21,A:min,E
22,D:maj,E
22,D:maj,E
22,D:maj,A
22,D:maj,B
22,D:maj,C
22,D:maj,E
23,D:min,A
23,D:min,D
24,G:maj,B
24,G:maj,G
25,C:maj,E
26,F:maj,E
26,F:maj,F
26,F:maj,E
26,F:maj,D
26,F:maj,C
27,B:min,D
27,B:min,F
28,E:maj,E
28,E:maj,D
29,A:min,C
30,A:min,C
30,A:min,E
30,A:min,D
30,A:min,C
30,A:min,B
31,F#:min,C
31,F#:min,E
32,B:maj,D#
32,B:maj,C
33,B:min,B
34,E:maj,B
34,E:maj,E
34,E:maj,A
34,E:maj,B
34,E:maj,C
34,E:maj,E
35,E:min,G
36,A:maj,G
36,A:maj,A
36,A:maj,G
36,A:maj,F
36,A:maj,E
37,D:min,F
37,D:min,A
37,D:min,F
38,F:min,F
38,F:min,G
38,F:min,F
38,F:min,E
38,F:min,D
39,E:min,E
39,E:min,G
39,E:min,E
40,A:maj,E
40,A:maj,F
40,A:maj,E
40,A:maj,D
40,A:maj,C#
41,D:maj,D
41,D:maj,F#
41,D:maj,D
42,G:maj,D
42,G:maj,F
42,G:maj,E
42,G:maj,D
42,G:maj,C
42,G:maj,B
43,C:maj,C
44,C:maj,C
