measure,chord,note
1,G:maj,D
1,G:maj,B
1,G:maj,B
1,G:maj,B
1,G:maj,D
1,G:maj,B
1,G:maj,B
1,G:maj,B
2,G:maj,D
2,G:maj,B
3,G:maj,D
3,G:maj,B
3,G:maj,B
3,G:maj,B
3,G:maj,D
3,G:maj,B
3,G:maj,B
3,G:maj,B
4,D:maj,C
4,D:maj,A
5,A:min,C
5,A:min,A
5,A:min,A
5,A:min,A
5,A:min,C
5,A:min,A
5,A:min,A
5,A:min,A
6,A:min,C
6,A:min,A
7,D:maj,D
7,D:maj,D
7,D:maj,D
7,D:maj,D
7,D:maj,C
7,D:maj,B
7,D:maj,A
8,D:maj,B
8,D:maj,G
9,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,C
9,D:maj,B
9,D:maj,A
10,G:maj,B
10,G:maj,G
11,G:maj,D
11,G:maj,B
11,G:maj,B
11,G:maj,B
11,G:maj,D
11,G:maj,B
11,G:maj,B
11,G:maj,B
12,G:maj,D
12,G:maj,B
12,G:maj,B
13,G:maj,D
13,G:maj,B
13,G:maj,B
13,G:maj,B
13,G:maj,D
13,G:maj,B
13,G:maj,B
13,G:maj,B
14,D:maj,C
14,D:maj,A
14,D:maj,A
15,A:min,C
15,A:min,A
15,A:min,A
15,A:min,A
15,A:min,C
15,A:min,A
15,A:min,A
15,A:min,A
16,A:min,C
16,A:min,A
16,A:min,A
17,D:maj,D
17,D:maj,D
17,D:maj,D
17,D:maj,D
17,D:maj,D
17,D:maj,C
17,D:maj,B
17,D:maj,A
18,G:maj,B
18,G:maj,G
18,G:maj,G
19,D:maj,D
19,D:maj,D
19,D:maj,D
19,D:maj,D
19,D:maj,C
19,D:maj,B
19,D:maj,A
20,G:maj,B
20,G:maj,G
