measure,chord,note
1,C:maj,B
1,C:maj,C
1,C:maj,C
1,C:maj,B
2,D#:min,B
2,D#:min,C
2,D#:min,C
2,D#:min,B
3,D:min,F
4,G:maj,F
4,G:maj,A
4,G:maj,A
4,G:maj,G#
4,G:maj,G
5,C:maj,G
5,C:maj,A
5,C:maj,A
5,C:maj,G
6,A:maj,G
6,A:maj,A
6,A:maj,A
6,A:maj,G
7,D:min,D
8,G:maj,D
8,G:maj,F
8,G:maj,F
8,G:maj,D#
8,G:maj,E
9,E:min,G
10,A:maj,G
10,A:maj,E
10,A:maj,F
10,A:maj,E
11,D:min,G
12,G:maj,G
12,G:maj,D
12,G:maj,E
12,G:maj,D
13,F:min,F
14,A#:maj,F
14,A#:maj,C
14,A#:maj,D
14,A#:maj,C
15,D:min,E
16,G:maj,E
17,C:maj,B
17,C:maj,C
17,C:maj,C
17,C:maj,B
18,D#:min,B
18,D#:min,C
18,D#:min,C
18,D#:min,B
19,D:min,F
20,G:maj,F
20,G:maj,A
20,G:maj,A
20,G:maj,G#
20,G:maj,G
21,C:maj,G
21,C:maj,A
21,C:maj,A
21,C:maj,G
22,A:maj,G
22,A:maj,A
22,A:maj,A
22,A:maj,G
23,D:min,D
24,G:maj,D
24,G:maj,F
24,G:maj,F
24,G:maj,D#
24,G:maj,E
25,E:min,G
26,A:maj,G
26,A:maj,E
26,A:maj,F
26,A:maj,E
27,D:min,A
28,G:maj,A
28,G:maj,G
28,G:maj,A
28,G:maj,G
29,C:maj,C
30,F:maj,C
33,E:maj,E
33,E:maj,B
33,E:maj,B
34,E:maj,B
34,E:maj,B
34,E:maj,B
34,E:maj,B
35,F#:min,B
35,F#:min,A
35,F#:min,A
36,B:maj,A
37,E:maj,E
37,E:maj,D#
37,E:maj,D#
38,E:maj,D#
38,E:maj,D#
38,E:maj,D#
38,E:maj,D#
39,A#:min,D#
39,A#:min,C#
39,A#:min,C#
40,D#:maj,C#
41,G#:min,D#
41,G#:min,B
41,G#:min,G#
42,G#:min,G#
42,G#:min,D#
42,G#:min,F#
42,G#:min,F
42,G#:min,E
43,C#:maj,D#
43,C#:maj,B
43,C#:maj,G#
44,C#:maj,G#
44,C#:maj,D#
44,C#:maj,D#
44,C#:maj,D#
45,F#:maj,D#
45,F#:maj,F#
45,F#:maj,F#
46,C:maj,F#
46,C:maj,F#
46,C:maj,F#
46,C:maj,F#
47,B:maj,G#
47,B:maj,B
47,B:maj,B
48,B:maj,B
48,B:maj,B
48,B:maj,B
48,B:maj,B
49,C:maj,B
49,C:maj,C
49,C:maj,C
49,C:maj,B
50,D#:min,B
50,D#:min,C
50,D#:min,C
50,D#:min,B
51,D:min,F
52,G:maj,F
52,G:maj,A
52,G:maj,A
52,G:maj,G#
52,G:maj,G
53,C:maj,G
53,C:maj,A
53,C:maj,A
53,C:maj,G
54,G:min,G
54,G:min,A
54,G:min,A
54,G:min,G
55,F:maj,C
56,B:maj,C
56,B:maj,F
56,B:maj,F
56,B:maj,D#
56,B:maj,E
57,E:min,G
58,A:maj,G
58,A:maj,E
58,A:maj,F
58,A:maj,E
59,D:min,A
60,G:maj,A
60,G:maj,G
60,G:maj,A
60,G:maj,G
61,C:maj,C
