measure,chord,note
1,C:maj,E
2,C:maj,G
2,C:maj,G
3,C:maj,E
3,C:maj,E
3,C:maj,F
4,C:maj,G
4,C:maj,A
4,C:maj,G
4,C:maj,G
4,C:maj,F
4,C:maj,E
5,G:maj,F
5,G:maj,D
5,G:maj,D
5,G:maj,E
6,G:maj,F
6,G:maj,G
6,G:maj,F
6,G:maj,F
6,G:maj,E
6,G:maj,D
7,C:maj,E
7,C:maj,F
7,C:maj,E
7,C:maj,E
7,C:maj,D
7,C:maj,C
8,G:maj,D
8,G:maj,E
8,G:maj,D
8,G:maj,D
8,G:maj,C
8,G:maj,B
9,C:maj,C
9,C:maj,C
9,C:maj,E
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
11,F:min,F
11,F:min,C
11,F:min,C
11,F:min,C
11,F:min,C
11,F:min,C
11,F:min,C
12,C:maj,G
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,C
13,F:min,G#
13,F:min,F
13,F:min,F
13,F:min,F
13,F:min,F
13,F:min,E
13,F:min,F
14,C:maj,G
14,C:maj,G
14,C:maj,C
14,C:maj,C
14,C:maj,C
15,F:min,F
15,F:min,C
15,F:min,C
15,F:min,C
15,F:min,C
15,F:min,C
15,F:min,C
16,C:maj,G
16,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,C
17,F:min,G#
17,F:min,F
17,F:min,F
17,F:min,F
17,F:min,F
17,F:min,E
17,F:min,F
18,G:maj,G
18,G:maj,G
18,G:maj,E
19,C:maj,G
19,C:maj,G
20,C:maj,E
20,C:maj,E
20,C:maj,G
21,C:maj,G
21,C:maj,A
21,C:maj,G
21,C:maj,G
21,C:maj,F
21,C:maj,E
22,G:maj,F
22,G:maj,D
22,G:maj,D
22,G:maj,E
23,G:maj,F
23,G:maj,G
23,G:maj,F
23,G:maj,F
23,G:maj,E
23,G:maj,D
24,C:maj,E
24,C:maj,F
24,C:maj,E
24,C:maj,E
24,C:maj,D
24,C:maj,C
25,G:maj,D
25,G:maj,E
25,G:maj,D
25,G:maj,D
25,G:maj,C
25,G:maj,B
26,C:maj,C
