measure,chord,note
7,C:maj,G
7,C:maj,G
7,C:maj,G
8,G:maj,G
8,G:maj,F
8,G:maj,D
9,C:maj,E
9,C:maj,G
10,C:maj,G
10,C:maj,C
11,F:maj,C
11,F:maj,C
12,F:maj,C
12,F:maj,B
12,F:maj,A
13,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,G
15,G:maj,D
15,G:maj,D
15,G:maj,D
16,G:maj,D
16,G:maj,C
16,G:maj,D
17,E:maj,E
17,E:maj,E
17,E:maj,D
18,A:min,C
18,A:min,A
18,A:min,A
19,C:maj,G
19,C:maj,G
19,C:maj,G
20,G:maj,G
20,G:maj,G
21,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,F
24,C:maj,E
24,C:maj,C
25,F:maj,C
25,F:maj,C
25,F:maj,C
25,F:maj,B
26,F#:min,A
26,F#:min,A
26,F#:min,A
27,C:maj,G
27,C:maj,G
28,G:maj,G
28,G:maj,F
28,G:maj,D
29,C:maj,E
29,C:maj,G
30,G:maj,G
30,G:maj,G
30,G:maj,G
31,C:maj,E
31,C:maj,E
31,C:maj,E
31,C:maj,D
32,C:maj,C
32,C:maj,C
33,F:maj,C
33,F:maj,C
33,F:maj,C
33,F:maj,B
34,F#:min,A
34,F#:min,A
34,F#:min,A
35,C:maj,G
35,C:maj,G
36,G:maj,B
36,G:maj,C
36,G:maj,D
37,C:maj,C
38,C:maj,C
38,C:maj,G
38,C:maj,G
39,C:maj,G
39,C:maj,G
39,C:maj,G
40,G:maj,G
40,G:maj,F
40,G:maj,D
41,C:maj,E
41,C:maj,G
42,C:maj,G
42,C:maj,C
43,F:maj,C
43,F:maj,C
44,F:maj,C
44,F:maj,B
44,F:maj,A
45,C:maj,G
46,C:maj,G
46,C:maj,G
46,C:maj,G
47,G:maj,D
47,G:maj,D
47,G:maj,D
48,G:maj,D
48,G:maj,C
48,G:maj,D
49,E:maj,E
49,E:maj,E
49,E:maj,D
50,A:min,C
50,A:min,A
50,A:min,A
51,C:maj,G
51,C:maj,G
51,C:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,G
53,C:maj,G
54,G:maj,G
54,G:maj,G
54,G:maj,G
55,C:maj,G
55,C:maj,G
55,C:maj,G
55,C:maj,F
56,C:maj,E
56,C:maj,C
57,F:maj,C
57,F:maj,C
57,F:maj,C
57,F:maj,B
58,F#:min,A
58,F#:min,A
58,F#:min,A
59,C:maj,G
59,C:maj,G
60,G:maj,G
60,G:maj,F
60,G:maj,D
61,C:maj,E
61,C:maj,G
62,G:maj,G
62,G:maj,G
62,G:maj,G
63,C:maj,E
63,C:maj,E
63,C:maj,E
63,C:maj,D
64,C:maj,C
64,C:maj,C
65,F:maj,C
65,F:maj,C
65,F:maj,C
65,F:maj,B
66,F#:min,A
66,F#:min,A
66,F#:min,A
67,C:maj,G
67,C:maj,G
68,G:maj,B
68,G:maj,C
68,G:maj,D
69,C:maj,C
70,C:maj,C
70,C:maj,G
70,C:maj,G
71,C:maj,G
71,C:maj,G
71,C:maj,G
72,G:maj,G
72,G:maj,F
72,G:maj,D
73,C:maj,E
73,C:maj,G
74,C:maj,G
74,C:maj,C
75,F:maj,C
75,F:maj,C
76,F:maj,C
76,F:maj,B
76,F:maj,A
77,C:maj,G
78,C:maj,G
78,C:maj,G
78,C:maj,G
79,G:maj,D
79,G:maj,D
79,G:maj,D
80,G:maj,D
80,G:maj,C
80,G:maj,D
81,E:maj,E
81,E:maj,E
81,E:maj,D
82,A:min,C
82,A:min,A
82,A:min,A
83,C:maj,G
83,C:maj,G
83,C:maj,G
84,G:maj,G
84,G:maj,G
85,C:maj,G
86,C:maj,G
86,C:maj,G
86,C:maj,G
87,C:maj,G
87,C:maj,G
87,C:maj,G
87,C:maj,F
88,C:maj,E
88,C:maj,C
89,F:maj,C
89,F:maj,C
89,F:maj,C
89,F:maj,B
90,F#:min,A
90,F#:min,A
90,F#:min,A
91,C:maj,G
91,C:maj,G
92,G:maj,G
92,G:maj,F
92,G:maj,D
93,C:maj,E
93,C:maj,G
94,G:maj,G
94,G:maj,G
94,G:maj,G
95,C:maj,E
95,C:maj,E
95,C:maj,E
95,C:maj,D
96,C:maj,C
96,C:maj,C
97,F:maj,C
97,F:maj,C
97,F:maj,C
97,F:maj,B
98,F#:min,A
98,F#:min,A
98,F#:min,A
99,C:maj,G
99,C:maj,G
100,G:maj,B
100,G:maj,C
100,G:maj,D
101,C:maj,C
102,C:maj,C
