measure,chord,note
2,C:maj,C
2,C:maj,C
3,C:maj,C
3,C:maj,C
3,C:maj,C
4,C:maj,G
4,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,C:maj,G
6,C:maj,C
7,C:maj,C
7,C:maj,C
7,C:maj,C
8,C:maj,E
9,C:maj,E
10,G:maj,B
10,G:maj,C
10,G:maj,D
10,G:maj,E
11,G:maj,F
11,G:maj,G
11,G:maj,A
11,G:maj,B
12,C:maj,C
12,C:maj,C
13,C:maj,C
14,G:maj,B
14,G:maj,C
14,G:maj,D
14,G:maj,E
15,G:maj,F
15,G:maj,G
15,G:maj,A
15,G:maj,B
16,C:maj,C
17,C:maj,C
18,G:maj,B
18,G:maj,C
18,G:maj,D
18,G:maj,E
19,G:maj,F
19,G:maj,G
19,G:maj,A
19,G:maj,B
20,G:maj,C
20,G:maj,C
21,A:min,C
21,A:min,A
21,A:min,B
21,A:min,C
22,D:maj,D
22,D:maj,D
23,D:maj,D
23,D:maj,B
23,D:maj,A
23,D:maj,B
24,D:min,A
25,G:maj,A
25,G:maj,G
26,F:maj,A
27,A:maj,A
29,D:min,D
29,D:min,E
29,D:min,F
29,D:min,G
30,G:maj,A
30,G:maj,B
30,G:maj,C
30,G:maj,D
31,C:maj,E
31,C:maj,E
31,C:maj,C#
32,A:maj,C#
32,A:maj,A
33,D:maj,D
33,D:maj,D
33,D:maj,B
34,G:maj,B
34,G:maj,A
34,G:maj,G
35,C:maj,C
35,C:maj,C
35,C:maj,A
36,A:maj,A
37,D:maj,D
37,D:maj,B
38,G:maj,B
38,G:maj,C
38,G:maj,D
39,C:maj,C
40,C:maj,C
