measure,chord,note
2,C:maj,C
2,C:maj,E
2,C:maj,E
2,C:maj,D#
3,A:min,E
3,A:min,C
3,A:min,C
3,A:min,G
4,C:maj,C
4,C:maj,E
4,C:maj,E
4,C:maj,D#
5,C:maj,E
5,C:maj,C
5,C:maj,G
6,A:min,C
6,A:min,E
6,A:min,E
6,A:min,D#
7,E:min,E
7,E:min,G
7,E:min,G
7,E:min,E
7,E:min,G
8,D:min,A
8,D:min,G
8,D:min,E
8,D:min,D
9,C:maj,E
9,C:maj,E
10,G:maj,E
10,G:maj,G
11,C:maj,C
11,C:maj,E
11,C:maj,E
11,C:maj,D#
12,A:min,E
12,A:min,C
12,A:min,C
12,A:min,G
13,C:maj,C
13,C:maj,E
13,C:maj,E
13,C:maj,D#
14,C:maj,E
14,C:maj,G
14,C:maj,G
15,A:min,A
15,A:min,E
15,A:min,E
15,A:min,A
16,E:min,G
16,E:min,E
16,E:min,E
16,E:min,G
17,D:min,A
17,D:min,G
17,D:min,E
17,D:min,D
18,C:maj,E
18,C:maj,C
19,C:maj,G
20,A:min,A
20,A:min,E
21,A:min,E
21,A:min,A
22,E:min,G
22,E:min,E
23,E:min,E
23,E:min,G
24,D:min,A
24,D:min,G
25,G:maj,E
25,G:maj,D
26,C:maj,E
26,C:maj,E
27,C:maj,E
27,C:maj,G
28,C:maj,E
28,C:maj,E
29,C:maj,E
29,C:maj,G
30,C:maj,E
30,C:maj,E
31,C:maj,E
