measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,E
2,F:maj,E
2,F:maj,E
3,F:maj,A
3,F:maj,A
3,F:maj,C
3,F:maj,D
4,A#:maj,D
5,C:maj,E
5,C:maj,E
5,C:maj,E
5,C:maj,E
5,C:maj,E
6,F:maj,E
6,F:maj,E
7,E:maj,E
7,E:maj,E
7,E:maj,F#
7,E:maj,G#
8,A:min,B
8,A:min,C
8,A:min,C
8,A:min,C
9,G:min,A#
9,G:min,C
9,G:min,C
9,G:min,C
10,A#:maj,A#
10,A#:maj,D
10,A#:maj,C
10,A#:maj,A#
11,F:maj,C
11,F:maj,D
11,F:maj,E
11,F:maj,D
12,F:min,D
12,F:min,E
12,F:min,E
12,F:min,D
13,E:min,G
13,E:min,E
14,A:min,A
14,A:min,C
14,A:min,D
15,D:min,G
15,D:min,E
16,G:maj,A
16,G:maj,C
16,G:maj,D
16,G:maj,C
16,G:maj,D
17,C:maj,E
17,C:maj,E
17,C:maj,E
17,C:maj,E
17,C:maj,E
18,F:maj,E
18,F:maj,E
18,F:maj,E
18,F:maj,E
18,F:maj,E
19,F:maj,E
19,F:maj,E
19,F:maj,E
19,F:maj,G
19,F:maj,A
20,A:min,A
20,A:min,F#
21,A:min,E
21,A:min,A
21,A:min,F#
22,G:maj,D
23,G:maj,D
23,G:maj,D
23,G:maj,F
23,G:maj,E
23,G:maj,D
24,C:maj,E
24,C:maj,D
24,C:maj,C
24,C:maj,C
