measure,chord,note
1,C:maj,G
1,C:maj,E
1,C:maj,G
1,C:maj,A
1,C:maj,B
2,C:maj,A
3,C:maj,G
3,C:maj,E
3,C:maj,G
3,C:maj,A
3,C:maj,B
4,D:min,A
5,G:maj,A
5,G:maj,F
5,G:maj,A
5,G:maj,B
5,G:maj,C
6,G:maj,B
6,G:maj,B
6,G:maj,A
6,G:maj,B
7,D:min,A
7,D:min,A
7,D:min,G
7,D:min,A
8,C:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,B
11,G:maj,B
11,G:maj,C
11,G:maj,B
11,G:maj,A
11,G:maj,A
12,G:maj,A
12,G:maj,B
12,G:maj,B
12,G:maj,A
12,G:maj,B
13,C:maj,G
13,C:maj,G
13,C:maj,G
14,A:maj,A
14,A:maj,A
14,A:maj,G
14,A:maj,A
15,D:min,G
15,D:min,A
15,D:min,G
15,D:min,F
15,D:min,F
16,D:min,D
16,D:min,E
16,D:min,F
16,D:min,A
16,D:min,G
17,C:maj,B
18,C:maj,B
19,C:maj,C
19,C:maj,C
19,C:maj,B
19,C:maj,C
19,C:maj,D
20,C:maj,B
20,C:maj,B
20,C:maj,A
20,C:maj,B
20,C:maj,C
21,C:maj,A
21,C:maj,G
21,C:maj,A
21,C:maj,G
21,C:maj,A
21,C:maj,E
22,G:maj,F
22,G:maj,F
22,G:maj,G
23,G:maj,A
23,G:maj,A
23,G:maj,G
23,G:maj,A
23,G:maj,B
24,D:min,A
24,D:min,A
24,D:min,G
24,D:min,A
24,D:min,B
25,G:maj,G
25,G:maj,G
25,G:maj,A
26,C:maj,G
26,C:maj,G
26,C:maj,G
27,C:maj,D
27,C:maj,B
27,C:maj,C
27,C:maj,B
27,C:maj,A
27,C:maj,G
28,D:min,F
28,D:min,F
28,D:min,G
29,G:maj,B
29,G:maj,G
29,G:maj,A
29,G:maj,F
29,G:maj,G
29,G:maj,D
30,C:maj,F
30,C:maj,E
30,C:maj,E
31,C:maj,C
31,C:maj,C
31,C:maj,B
31,C:maj,C
31,C:maj,D
32,C:maj,B
32,C:maj,B
32,C:maj,A
32,C:maj,B
32,C:maj,C
33,D:min,A
33,D:min,G
33,D:min,A
33,D:min,G
33,D:min,A
33,D:min,D
33,D:min,C
34,C:maj,C
