measure,chord,note
2,A:min,A
2,A:min,C
2,A:min,A
2,A:min,G
3,F#:maj,A
3,F#:maj,C
3,F#:maj,A
3,F#:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,A
4,C:maj,G
5,E:min,G
5,E:min,B
5,E:min,A
5,E:min,A
6,A:min,A
6,A:min,A
6,A:min,B
6,A:min,C
6,A:min,A
7,F#:maj,A
7,F#:maj,A
7,F#:maj,A
7,F#:maj,B
7,F#:maj,C
7,F#:maj,C
7,F#:maj,G
7,F#:maj,G
8,C:maj,G
8,C:maj,E
8,C:maj,E
8,C:maj,F
8,C:maj,G
8,C:maj,G
8,C:maj,G
9,E:min,B
9,E:min,B
9,E:min,B
9,E:min,C
9,E:min,B
9,E:min,C
9,E:min,B
10,A:min,A
10,A:min,A
10,A:min,G
10,A:min,A
10,A:min,A
10,A:min,G
10,A:min,A
10,A:min,A
10,A:min,B
10,A:min,A
10,A:min,A
10,A:min,A
10,A:min,G
11,F#:maj,A
11,F#:maj,G
11,F#:maj,A
11,F#:maj,G
11,F#:maj,A
11,F#:maj,A
11,F#:maj,G
11,F#:maj,A
11,F#:maj,A
11,F#:maj,B
11,F#:maj,C
11,F#:maj,C
11,F#:maj,C
11,F#:maj,E
11,F#:maj,C
11,F#:maj,E
11,F#:maj,C
11,F#:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
12,C:maj,C
12,C:maj,E
13,E:min,B
13,E:min,E
13,E:min,B
13,E:min,B
13,E:min,B
13,E:min,C
13,E:min,B
13,E:min,A
14,A:min,A
14,A:min,A
14,A:min,A
14,A:min,B
14,A:min,C
14,A:min,B
14,A:min,A
14,A:min,A
14,A:min,A
14,A:min,A
14,A:min,A
14,A:min,C
14,A:min,B
14,A:min,A
15,F#:maj,A
15,F#:maj,A
15,F#:maj,A
15,F#:maj,A
15,F#:maj,A
15,F#:maj,C
15,F#:maj,B
15,F#:maj,A
15,F#:maj,A
15,F#:maj,A
15,F#:maj,G
15,F#:maj,A
15,F#:maj,G
15,F#:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,C
16,C:maj,C
16,C:maj,B
17,E:min,B
17,E:min,C
17,E:min,B
17,E:min,E
17,E:min,B
17,E:min,E
17,E:min,B
17,E:min,E
17,E:min,C
17,E:min,E
17,E:min,B
17,E:min,E
17,E:min,A
17,E:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,B
18,A:min,E
18,A:min,C
18,A:min,E
18,A:min,B
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,A
18,A:min,E
18,A:min,C
18,A:min,E
18,A:min,B
18,A:min,E
18,A:min,A
18,A:min,E
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,C
19,F#:maj,F
19,F#:maj,B
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,A
19,F#:maj,F
19,F#:maj,G
19,F#:maj,E
19,F#:maj,A
19,F#:maj,F
19,F#:maj,G
19,F#:maj,E
19,F#:maj,G
19,F#:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,G
20,C:maj,E
20,C:maj,C
20,C:maj,E
20,C:maj,C
20,C:maj,E
20,C:maj,B
20,C:maj,E
21,E:min,B
21,E:min,E
21,E:min,C
21,E:min,F
21,E:min,B
21,E:min,B
21,E:min,B
21,E:min,B
21,E:min,C
21,E:min,B
21,E:min,B
22,A:min,B
22,A:min,A
23,F#:maj,A
23,F#:maj,B
23,F#:maj,C
23,F#:maj,A
23,F#:maj,A
23,F#:maj,B
23,F#:maj,B
23,F#:maj,C
23,F#:maj,C
23,F#:maj,A
23,F#:maj,A
23,F#:maj,C
24,C:maj,C
24,C:maj,D
24,C:maj,E
24,C:maj,C
24,C:maj,C
24,C:maj,D
24,C:maj,D
24,C:maj,E
24,C:maj,E
24,C:maj,D
24,C:maj,D
24,C:maj,C
25,E:min,C
25,E:min,C
25,E:min,C
26,A:min,C
26,A:min,A
26,A:min,A
26,A:min,A
26,A:min,A
26,A:min,E
26,A:min,E
26,A:min,E
26,A:min,E
26,A:min,G
26,A:min,E
26,A:min,E
26,A:min,C
26,A:min,B
27,F#:maj,C
27,F#:maj,A
27,F#:maj,A
27,F#:maj,A
27,F#:maj,F
27,F#:maj,F
27,F#:maj,G
27,F#:maj,F
27,F#:maj,C
28,C:maj,C
28,C:maj,G
28,C:maj,G
28,C:maj,G
28,C:maj,G
28,C:maj,C
28,C:maj,G
