measure,chord,note
3,C:maj,C
3,C:maj,D
3,C:maj,C
3,C:maj,E
3,C:maj,F
3,C:maj,E
4,A:min,C
4,A:min,D
4,A:min,C
4,A:min,E
4,A:min,F
4,A:min,E
5,C:maj,C
5,C:maj,D
5,C:maj,C
5,C:maj,E
5,C:maj,F
5,C:maj,E
6,A:min,C
6,A:min,D
6,A:min,C
6,A:min,D
6,A:min,D
6,A:min,D
7,C:maj,C
7,C:maj,D
7,C:maj,C
7,C:maj,E
7,C:maj,F
7,C:maj,E
8,C:maj,C
8,C:maj,D
8,C:maj,C
8,C:maj,E
8,C:maj,F
8,C:maj,E
9,A:min,C
9,A:min,D
9,A:min,C
9,A:min,E
9,A:min,F
9,A:min,E
10,D:min,D
10,D:min,E
10,D:min,D
10,D:min,E
10,D:min,F
10,D:min,E
11,G:maj,D
11,G:maj,C
11,G:maj,D
11,G:maj,E
11,G:maj,F
11,G:maj,E
11,G:maj,D
11,G:maj,C
11,G:maj,D
11,G:maj,E
11,G:maj,F
11,G:maj,E
12,C:maj,C
12,C:maj,D
12,C:maj,C
12,C:maj,E
12,C:maj,F
12,C:maj,E
13,A:min,C
13,A:min,D
13,A:min,C
13,A:min,E
13,A:min,F
13,A:min,E
14,D:min,D
14,D:min,E
14,D:min,D
14,D:min,E
14,D:min,F
14,D:min,E
15,G:maj,D
15,G:maj,C
15,G:maj,D
15,G:maj,E
15,G:maj,F
15,G:maj,E
15,G:maj,D
15,G:maj,C
15,G:maj,D
15,G:maj,E
15,G:maj,F
15,G:maj,E
16,C:maj,C
16,C:maj,D
16,C:maj,C
16,C:maj,E
16,C:maj,F
16,C:maj,E
17,A:min,C
17,A:min,D
17,A:min,C
17,A:min,E
17,A:min,F
17,A:min,E
18,D:min,D
18,D:min,E
18,D:min,D
18,D:min,E
18,D:min,F
18,D:min,E
19,G:maj,D
19,G:maj,C
19,G:maj,D
19,G:maj,E
19,G:maj,F
19,G:maj,E
19,G:maj,D
19,G:maj,C
19,G:maj,D
19,G:maj,E
19,G:maj,F
19,G:maj,E
20,C:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,G
20,C:maj,E
20,C:maj,E
21,A:min,C
21,A:min,C
21,A:min,C
21,A:min,C
21,A:min,C
21,A:min,D
21,A:min,C
21,A:min,A
21,A:min,A
22,D:min,D
22,D:min,D
22,D:min,D
22,D:min,D
22,D:min,D
22,D:min,E
22,D:min,D
22,D:min,C
22,D:min,A
22,D:min,A
22,D:min,A
23,G:maj,C
23,G:maj,D
23,G:maj,E
23,G:maj,F
23,G:maj,C
23,G:maj,D
23,G:maj,E
23,G:maj,F
23,G:maj,G
24,C:maj,C
24,C:maj,C
24,C:maj,C
24,C:maj,A
24,C:maj,G
24,C:maj,G
24,C:maj,C
24,C:maj,C
24,C:maj,C
25,A:min,C
25,A:min,C
25,A:min,C
25,A:min,G
25,A:min,A
25,A:min,A
25,A:min,C
25,A:min,C
25,A:min,C
26,D:min,C
26,D:min,C
26,D:min,C
26,D:min,G
26,D:min,A
26,D:min,A
26,D:min,E
26,D:min,F
26,D:min,E
27,G:maj,C
27,G:maj,D
27,G:maj,E
27,G:maj,F
27,G:maj,C
27,G:maj,D
27,G:maj,E
27,G:maj,F
27,G:maj,G
28,C:maj,C
28,C:maj,C
28,C:maj,C
28,C:maj,A
28,C:maj,G
28,C:maj,G
28,C:maj,C
28,C:maj,C
28,C:maj,C
29,A:min,C
29,A:min,C
29,A:min,C
29,A:min,C
29,A:min,C
29,A:min,D
29,A:min,C
29,A:min,A
29,A:min,A
30,D:min,D
30,D:min,D
30,D:min,D
30,D:min,D
30,D:min,D
30,D:min,E
30,D:min,D
30,D:min,C
30,D:min,A
30,D:min,A
30,D:min,A
31,G:maj,C
31,G:maj,D
31,G:maj,E
31,G:maj,F
31,G:maj,C
31,G:maj,D
31,G:maj,E
31,G:maj,F
31,G:maj,E
32,C:maj,C
32,C:maj,D
32,C:maj,C
32,C:maj,E
32,C:maj,F
32,C:maj,E
33,A:min,C
33,A:min,D
33,A:min,C
33,A:min,E
33,A:min,F
33,A:min,E
34,D:min,D
34,D:min,E
34,D:min,D
34,D:min,E
34,D:min,F
34,D:min,E
35,G:maj,D
35,G:maj,C
35,G:maj,D
35,G:maj,E
35,G:maj,F
35,G:maj,E
35,G:maj,D
35,G:maj,C
35,G:maj,D
35,G:maj,E
35,G:maj,F
35,G:maj,E
36,C:maj,C
36,C:maj,C
36,C:maj,C
36,C:maj,C
36,C:maj,C
36,C:maj,C
36,C:maj,G
36,C:maj,E
36,C:maj,E
36,C:maj,E
37,A:min,C
37,A:min,C
37,A:min,C
37,A:min,C
37,A:min,C
37,A:min,D
37,A:min,C
37,A:min,A
37,A:min,A
38,D:min,D
38,D:min,D
38,D:min,D
38,D:min,D
38,D:min,D
38,D:min,E
38,D:min,D
38,D:min,C
38,D:min,A
38,D:min,A
38,D:min,A
39,G:maj,C
39,G:maj,D
39,G:maj,E
39,G:maj,F
39,G:maj,F
39,G:maj,C
39,G:maj,D
39,G:maj,E
39,G:maj,F
39,G:maj,G
40,C:maj,C
40,C:maj,C
40,C:maj,C
40,C:maj,A
40,C:maj,G
40,C:maj,G
40,C:maj,C
40,C:maj,C
40,C:maj,C
41,A:min,C
41,A:min,C
41,A:min,C
41,A:min,G
41,A:min,A
41,A:min,A
41,A:min,C
41,A:min,C
41,A:min,C
42,D:min,C
42,D:min,C
42,D:min,C
42,D:min,G
42,D:min,A
42,D:min,A
42,D:min,E
42,D:min,F
42,D:min,E
43,G:maj,D
43,G:maj,C
43,G:maj,D
43,G:maj,E
43,G:maj,F
43,G:maj,E
43,G:maj,D
43,G:maj,C
43,G:maj,D
43,G:maj,E
43,G:maj,F
43,G:maj,E
44,C:maj,C
44,C:maj,C
44,C:maj,C
44,C:maj,C
44,C:maj,C
44,C:maj,C
44,C:maj,G
44,C:maj,E
44,C:maj,E
45,A:min,C
45,A:min,C
45,A:min,C
45,A:min,C
45,A:min,C
45,A:min,D
45,A:min,C
45,A:min,A
45,A:min,A
46,D:min,D
46,D:min,D
46,D:min,D
46,D:min,D
46,D:min,D
46,D:min,E
46,D:min,D
46,D:min,C
46,D:min,A
46,D:min,A
46,D:min,A
47,G:maj,C
47,G:maj,D
47,G:maj,E
47,G:maj,F
47,G:maj,C
47,G:maj,D
47,G:maj,E
47,G:maj,F
47,G:maj,E
48,C:maj,C
48,C:maj,D
48,C:maj,C
48,C:maj,E
48,C:maj,F
48,C:maj,E
49,A:min,C
49,A:min,D
49,A:min,C
49,A:min,E
49,A:min,F
49,A:min,E
50,D:min,D
50,D:min,E
50,D:min,D
50,D:min,E
50,D:min,F
50,D:min,E
51,G:maj,D
51,G:maj,C
51,G:maj,D
51,G:maj,E
51,G:maj,F
51,G:maj,E
51,G:maj,D
51,G:maj,C
51,G:maj,D
51,G:maj,E
51,G:maj,F
51,G:maj,E
52,C:maj,C
52,C:maj,C
52,C:maj,C
52,C:maj,C
52,C:maj,C
52,C:maj,C
52,C:maj,G
52,C:maj,E
52,C:maj,E
53,A:min,C
53,A:min,C
53,A:min,C
53,A:min,C
53,A:min,C
53,A:min,D
53,A:min,C
53,A:min,A
53,A:min,A
54,D:min,D
54,D:min,D
54,D:min,D
54,D:min,D
54,D:min,D
54,D:min,E
54,D:min,D
54,D:min,C
54,D:min,A
54,D:min,A
54,D:min,A
55,G:maj,C
55,G:maj,D
55,G:maj,E
55,G:maj,F
55,G:maj,F
55,G:maj,C
55,G:maj,D
55,G:maj,E
