measure,chord,note
2,F:maj,F
2,F:maj,E
2,F:maj,D
2,F:maj,C
3,C:maj,A#
3,C:maj,G
3,C:maj,A#
4,C:maj,E
4,C:maj,D
4,C:maj,C
4,C:maj,A#
5,F:maj,A
5,F:maj,F
5,F:maj,A
6,D:maj,D
6,D:maj,C
6,D:maj,A#
6,D:maj,A
7,G:min,G
7,G:min,G
7,G:min,A
8,C:maj,C
8,C:maj,C
8,C:maj,C
9,C:maj,A#
9,C:maj,A
9,C:maj,G
10,F:maj,F
10,F:maj,F
10,F:maj,F
11,F:maj,F
11,F:maj,A
11,F:maj,C
12,F:maj,F
12,F:maj,F
12,F:maj,F
12,F:maj,G
12,F:maj,F
13,C:maj,E
13,C:maj,C
13,C:maj,C
13,C:maj,E
13,C:maj,F
14,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,A
14,C:maj,G
15,F:maj,F
15,F:maj,C
15,F:maj,C
15,F:maj,F
15,F:maj,G
16,F:maj,A
16,F:maj,F
16,F:maj,F
16,F:maj,G
16,F:maj,F
17,D:maj,F#
17,D:maj,D
17,D:maj,D
17,D:maj,F#
17,D:maj,G
18,D:maj,A
18,D:maj,A
18,D:maj,A
18,D:maj,A#
18,D:maj,A
19,G:min,G
19,G:min,D
19,G:min,D
19,G:min,G
19,G:min,A
20,G:min,A#
20,G:min,A#
20,G:min,A#
20,G:min,A#
21,A#:maj,C
21,A#:maj,A#
21,A#:maj,C
21,A#:maj,A#
22,A#:min,A#
22,A#:min,C
22,A#:min,A#
22,A#:min,C
22,A#:min,A#
23,F:maj,A#
23,F:maj,A
23,F:maj,A#
23,F:maj,A
24,D:maj,A
24,D:maj,A#
24,D:maj,A
24,D:maj,A#
24,D:maj,A
25,G:min,A
25,G:min,G
25,G:min,A
25,G:min,G
26,C:maj,G
26,C:maj,A
26,C:maj,G
26,C:maj,A
26,C:maj,G
27,F:maj,F
28,F:maj,F
29,F:maj,A
29,F:maj,C
30,F:maj,F
30,F:maj,E
30,F:maj,D
30,F:maj,C
31,C:maj,A#
31,C:maj,G
31,C:maj,A#
32,C:maj,E
32,C:maj,D
32,C:maj,C
32,C:maj,A#
33,F:maj,A
33,F:maj,F
33,F:maj,A
34,D:maj,D
34,D:maj,C
34,D:maj,A#
34,D:maj,A
35,G:min,G
35,G:min,G
35,G:min,A
36,C:maj,C
36,C:maj,C
36,C:maj,C
37,C:maj,A#
37,C:maj,A
37,C:maj,G
38,F:maj,F
38,F:maj,F
38,F:maj,F
39,F:maj,F
39,F:maj,F
39,F:maj,G
39,F:maj,F
40,C:maj,C
40,C:maj,C
40,C:maj,C
40,C:maj,C
41,C:maj,A#
41,C:maj,A#
41,C:maj,A#
41,C:maj,A#
42,C:maj,A
42,C:maj,A
42,C:maj,A
42,C:maj,A
43,C:maj,G
43,C:maj,G
43,C:maj,G
43,C:maj,G
44,F:maj,F
44,F:maj,C
45,F:maj,F
