measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,G
1,C:maj,A
1,C:maj,C
2,C:maj,E
2,C:maj,E
3,C:maj,G
3,C:maj,G
3,C:maj,G
3,C:maj,A
3,C:maj,C
4,G:maj,D
5,D:min,G
5,D:min,G
5,D:min,G
5,D:min,A
5,D:min,C
6,G:maj,D
6,G:maj,D
7,D:min,D
7,D:min,D
7,D:min,E
7,D:min,C
7,D:min,A
8,C:maj,C
9,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,A
10,C:maj,C
11,C:maj,E
11,C:maj,E
12,C:maj,G
12,C:maj,G
12,C:maj,A
12,C:maj,C
13,G:maj,D
14,D:min,G
14,D:min,G
14,D:min,A
14,D:min,C
15,D:min,D
15,D:min,D
16,D:min,D
16,D:min,D
16,D:min,C
16,D:min,A
17,C:maj,C
18,C:maj,C
19,C:maj,C
20,G:maj,D
20,G:maj,D
20,G:maj,E
20,G:maj,C
20,G:maj,A
21,C:maj,C
22,G:maj,D
22,G:maj,D
22,G:maj,E
22,G:maj,C
22,G:maj,A
23,C:maj,C
24,G:maj,C
24,G:maj,C
24,G:maj,G
24,G:maj,A
24,G:maj,G
24,G:maj,A
25,C:maj,C
