measure,chord,note
2,F:maj,A
2,F:maj,A
2,F:maj,G
2,F:maj,A
2,F:maj,C
2,F:maj,F
3,A#:maj,F
3,A#:maj,G
3,A#:maj,A
3,A#:maj,G
3,A#:maj,C
4,F:maj,A
4,F:maj,A
4,F:maj,G
4,F:maj,A
4,F:maj,C
5,A#:maj,F
5,A#:maj,G
5,A#:maj,A
5,A#:maj,G
5,A#:maj,C
6,F:maj,C
6,F:maj,C
6,F:maj,D
6,F:maj,E
6,F:maj,F
7,G:min,F
7,G:min,A#
7,G:min,A#
7,G:min,A
7,G:min,G
7,G:min,A
7,G:min,A#
7,G:min,E
8,D:min,D
8,D:min,C
8,D:min,C
8,D:min,A
8,D:min,B
8,D:min,C
9,G:min,C
9,G:min,F
9,G:min,F
9,G:min,C
10,A#:maj,C
10,A#:maj,F
10,A#:maj,F
10,A#:maj,C
11,F:maj,F
12,C:maj,F
13,A#:maj,A
13,A#:maj,A
13,A#:maj,A
13,A#:maj,G
13,A#:maj,F
13,A#:maj,A
14,A:min,G
14,A:min,E
14,A:min,E
14,A:min,F
14,A:min,G
15,A#:maj,A
15,A#:maj,A
15,A#:maj,A
15,A#:maj,A
15,A#:maj,A
15,A#:maj,G
15,A#:maj,F
16,A:min,G
16,A:min,C
16,A:min,C
16,A:min,D
17,G:min,F
17,G:min,F
17,G:min,F
17,G:min,F
17,G:min,F
17,G:min,E
17,G:min,D
18,D:min,C
18,D:min,A
18,D:min,A
18,D:min,B
18,D:min,C
19,A#:maj,A
19,A#:maj,F
19,A#:maj,F
19,A#:maj,A
19,A#:maj,B
19,A#:maj,C
20,A#:min,A
20,A#:min,F
20,A#:min,F
20,A#:min,C
21,F:maj,A
22,F:maj,C
23,F:maj,A
23,F:maj,A
23,F:maj,G
23,F:maj,A
23,F:maj,C
23,F:maj,F
24,A#:maj,F
24,A#:maj,G
24,A#:maj,A
24,A#:maj,G
24,A#:maj,C
25,F:maj,A
