measure,chord,note
2,C:maj,C
2,C:maj,D
3,E:min,E
3,E:min,B
3,E:min,G
3,E:min,E
4,A:min,A
5,D:min,A
5,D:min,G
6,C:maj,C
6,C:maj,D
7,E:min,E
7,E:min,B
7,E:min,G
7,E:min,E
8,F:maj,A
9,A:maj,A
9,A:maj,A
10,D:min,D
10,D:min,E
10,D:min,F
10,D:min,C
11,G:maj,B
11,G:maj,A
12,D:min,B
12,D:min,C
12,D:min,D
12,D:min,A
13,G:maj,G
13,G:maj,A
14,D:min,B
14,D:min,C
14,D:min,D
14,D:min,A
15,G:maj,G
15,G:maj,A
15,G:maj,B
15,G:maj,G
16,C:maj,E
17,D:min,E
17,D:min,G
18,C:maj,C
18,C:maj,D
19,E:min,E
19,E:min,B
19,E:min,G
19,E:min,E
20,A:min,A
21,A:min,A
21,A:min,G
22,C:maj,C
22,C:maj,D
23,C:maj,E
23,C:maj,C
23,C:maj,D
23,C:maj,E
24,F:maj,D
25,F:maj,D
25,F:maj,A
26,D:min,F
26,D:min,E
27,F:maj,E
27,F:maj,D
27,F:maj,D
27,F:maj,C
28,C:maj,G
29,A:maj,G
29,A:maj,F#
29,A:maj,G
30,D:min,A
30,D:min,F
31,E:min,B
31,E:min,G
32,C:maj,C
33,G:maj,C
33,G:maj,G
34,C:maj,C
35,C:maj,C
