measure,chord,note
1,A:min,E
1,A:min,E
1,A:min,F
2,C:maj,E
2,C:maj,D
2,C:maj,C
2,C:maj,B
3,F#:min,C
3,F#:min,C
3,F#:min,D
4,F:maj,C
5,G#:maj,G
5,G#:maj,G
5,G#:maj,G
5,G#:maj,G
6,C#:maj,F
6,C#:maj,F
6,C#:maj,F
6,C#:maj,F
6,C#:maj,F
7,F:maj,F
7,F:maj,F
7,F:maj,F
7,F:maj,F
8,G:maj,D
8,G:maj,D
8,G:maj,D
8,G:maj,D
8,G:maj,D
9,C:maj,E
9,C:maj,F
9,C:maj,G
9,C:maj,A
10,E:min,G
11,G:min,G
11,G:min,F
11,G:min,E
11,G:min,D
12,A:maj,C#
12,A:maj,C#
12,A:maj,D
12,A:maj,E
13,D:min,D
13,D:min,E
13,D:min,F
13,D:min,G
14,A#:maj,F
15,B:min,F
15,B:min,E
15,B:min,D
15,B:min,C
16,E:maj,B
16,E:maj,B
16,E:maj,C
16,E:maj,D
17,A:min,E
17,A:min,A
17,A:min,B
18,C:maj,C
18,C:maj,B
18,C:maj,A
19,F#:min,C
19,F#:min,C
20,F:maj,D
20,F:maj,C
20,F:maj,B
20,F:maj,A
20,F:maj,A
21,G#:maj,B
21,G#:maj,A
21,G#:maj,G
21,G#:maj,G
22,C#:maj,G
22,C#:maj,F
22,C#:maj,E
23,D:min,D
25,C:maj,E
25,C:maj,F
25,C:maj,G
25,C:maj,G
25,C:maj,G
25,C:maj,A
26,E:min,G
27,G:min,G
27,G:min,F
27,G:min,E
27,G:min,D
28,A:maj,C#
28,A:maj,C#
28,A:maj,D
28,A:maj,E
29,D:min,D
29,D:min,D
29,D:min,E
29,D:min,F
29,D:min,G
30,A#:maj,F
31,B:min,F
31,B:min,E
31,B:min,D
31,B:min,C
32,E:maj,B
32,E:maj,B
32,E:maj,C
32,E:maj,D
33,A:min,E
33,A:min,A
33,A:min,B
34,C:maj,C
34,C:maj,B
34,C:maj,A
35,F#:min,C
35,F#:min,C
36,F:maj,D
36,F:maj,C
36,F:maj,B
36,F:maj,A
37,G#:maj,B
37,G#:maj,A
37,G#:maj,G
37,G#:maj,G
38,C#:maj,G
38,C#:maj,F
38,C#:maj,E
39,D:min,D
39,D:min,D
40,G:maj,E
40,G:maj,D
41,C:maj,C
41,C:maj,E
41,C:maj,F
41,C:maj,E
41,C:maj,D
41,C:maj,C
41,C:maj,B
42,C:maj,C
42,C:maj,D
42,C:maj,E
42,C:maj,F
42,C:maj,G
42,C:maj,A
42,C:maj,B
42,C:maj,C
43,A:min,C
43,A:min,C
43,A:min,C
44,E:min,B
44,E:min,A
44,E:min,G
44,E:min,G
45,A:min,C
45,A:min,D
45,A:min,C
46,E:min,B
46,E:min,A
46,E:min,G
46,E:min,G
46,E:min,G
47,A:min,A
47,A:min,A
47,A:min,B
47,A:min,A
48,E:min,G
48,E:min,G
49,F:maj,A
49,F:maj,G
49,F:maj,C
49,F:maj,D
50,G:maj,E
50,G:maj,G
51,G:maj,G
52,C:maj,E
52,C:maj,F
52,C:maj,G
52,C:maj,G
52,C:maj,G
52,C:maj,G
52,C:maj,A
53,E:min,G
54,G:min,G
54,G:min,F
54,G:min,E
54,G:min,D
55,A:maj,C#
55,A:maj,D
55,A:maj,E
56,D:min,D
56,D:min,E
56,D:min,F
56,D:min,F
56,D:min,F
56,D:min,F
56,D:min,G
57,A#:maj,F
58,B:min,F
58,B:min,E
58,B:min,D
58,B:min,C
59,E:maj,B
59,E:maj,B
59,E:maj,C
59,E:maj,D
60,A:min,E
60,A:min,G
60,A:min,E
60,A:min,E
60,A:min,A
60,A:min,B
61,C:maj,C
61,C:maj,B
61,C:maj,A
62,F#:min,C
62,F#:min,C
63,F:maj,D
63,F:maj,C
63,F:maj,B
63,F:maj,A
64,G#:maj,B
64,G#:maj,A
64,G#:maj,G
64,G#:maj,G
65,C#:maj,G
65,C#:maj,G
65,C#:maj,F
65,C#:maj,E
66,D:min,D
67,F:maj,C
67,F:maj,B
68,C:maj,C
69,C:maj,E
69,C:maj,F
69,C:maj,G
69,C:maj,G
69,C:maj,G
69,C:maj,A
70,E:min,G
71,C:maj,G
