measure,chord,note
1,F:maj,C
1,F:maj,C
1,F:maj,C
1,F:maj,C
1,F:maj,B
1,F:maj,A#
2,F:maj,A
3,E:maj,B
3,E:maj,B
3,E:maj,B
3,E:maj,B
3,E:maj,B
3,E:maj,A#
3,E:maj,A
4,E:maj,G#
5,F:maj,A
5,F:maj,A
5,F:maj,A
5,F:maj,A
5,F:maj,A
5,F:maj,G
5,F:maj,F
6,C:maj,E
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,F#
7,G:maj,F
7,G:maj,E
7,G:maj,D#
7,G:maj,D
8,C:maj,E
8,C:maj,D
8,C:maj,C
8,C:maj,C
9,F:maj,C
9,F:maj,C
9,F:maj,C
9,F:maj,C
9,F:maj,C
9,F:maj,B
9,F:maj,A#
10,F:maj,A
11,E:maj,B
11,E:maj,B
11,E:maj,B
11,E:maj,B
11,E:maj,B
11,E:maj,A#
11,E:maj,A
12,E:maj,G#
13,F:maj,A
13,F:maj,A
13,F:maj,A
13,F:maj,A
13,F:maj,A
13,F:maj,G
13,F:maj,F
14,C:maj,E
15,G:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,F#
15,G:maj,F
15,G:maj,E
15,G:maj,D#
15,G:maj,D
16,C:maj,E
16,C:maj,D
16,C:maj,C
16,C:maj,C
16,C:maj,E
16,C:maj,D#
17,F:min,D
17,F:min,D
17,F:min,E
17,F:min,F
17,F:min,E
18,C:maj,G
18,C:maj,E
18,C:maj,E
19,A:min,F#
19,A:min,F#
19,A:min,G
19,A:min,A
19,A:min,A#
20,E:min,B
21,F:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,B
21,F:maj,A#
22,F:maj,A
23,E:maj,B
23,E:maj,B
23,E:maj,B
23,E:maj,B
23,E:maj,B
23,E:maj,A#
23,E:maj,A
24,E:maj,G#
25,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,G
25,F:maj,F
26,C:maj,E
27,G:maj,G
27,G:maj,G
27,G:maj,G
27,G:maj,G
27,G:maj,G
27,G:maj,F#
27,G:maj,F
27,G:maj,E
27,G:maj,D#
27,G:maj,D
28,C:maj,E
28,C:maj,D
28,C:maj,C
28,C:maj,C
