measure,chord,note
5,C:maj,E
5,C:maj,G
5,C:maj,C
5,C:maj,G
6,F:min,G#
6,F:min,G
6,F:min,F
6,F:min,D#
7,A#:maj,D
7,A#:maj,F
7,A#:maj,A#
7,A#:maj,F
8,D#:maj,G
8,D#:maj,F
8,D#:maj,D#
8,D#:maj,D
9,G#:maj,C
9,G#:maj,D#
9,G#:maj,G#
9,G#:maj,C
10,G:maj,B
10,G:maj,G#
10,G:maj,G
10,G:maj,F
11,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,C
13,C:maj,G#
14,F:min,G#
14,F:min,G
14,F:min,F
14,F:min,D#
15,A#:maj,D
15,A#:maj,D
15,A#:maj,D
15,A#:maj,D
15,A#:maj,A#
15,A#:maj,G#
16,D#:maj,G#
16,D#:maj,G
16,D#:maj,F
16,D#:maj,D#
17,G#:maj,C
17,G#:maj,C
17,G#:maj,C
17,G#:maj,C
17,G#:maj,C
17,G#:maj,B
18,G:maj,B
18,G:maj,G
18,G:maj,G#
18,G:maj,G#
18,G:maj,G
18,G:maj,G
19,C:maj,G
21,C:maj,E
21,C:maj,G
21,C:maj,C
21,C:maj,G
22,F:min,G#
22,F:min,G
22,F:min,F
22,F:min,D#
23,A#:maj,D
23,A#:maj,F
23,A#:maj,A#
23,A#:maj,F
24,D#:maj,G
24,D#:maj,F
24,D#:maj,D#
24,D#:maj,D
25,G#:maj,C
25,G#:maj,D#
25,G#:maj,G#
25,G#:maj,C
26,G:maj,B
26,G:maj,G#
26,G:maj,G
26,G:maj,F
27,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,C
29,C:maj,G#
30,F:min,G#
30,F:min,G
30,F:min,F
30,F:min,D#
31,A#:maj,D
31,A#:maj,D
31,A#:maj,D
31,A#:maj,D
31,A#:maj,A#
31,A#:maj,G#
32,D#:maj,G#
32,D#:maj,G
32,D#:maj,F
32,D#:maj,D#
33,G#:maj,C
33,G#:maj,C
33,G#:maj,C
33,G#:maj,C
33,G#:maj,C
33,G#:maj,B
34,G:maj,B
34,G:maj,G
34,G:maj,G#
34,G:maj,G#
34,G:maj,G
34,G:maj,G
35,C:maj,G
37,C:maj,C
37,C:maj,C
37,C:maj,C
37,C:maj,C
38,F:min,C
38,F:min,F
38,F:min,F
39,F:min,G
39,F:min,G#
39,F:min,F
39,F:min,G
39,F:min,F
39,F:min,G
40,F:min,G
40,F:min,F
40,F:min,G
40,F:min,G#
40,F:min,G
40,F:min,G
41,F:maj,F
41,F:maj,F
41,F:maj,G
42,C:maj,G
43,C:maj,G
