measure,chord,note
2,C:maj,G
2,C:maj,E
2,C:maj,E
2,C:maj,F
3,E:min,G
3,E:min,G
3,E:min,E
3,E:min,F
4,G:min,G
5,A:maj,G
5,A:maj,C#
5,A:maj,D
5,A:maj,E
6,D:min,F
6,D:min,D
6,D:min,D
6,D:min,E
7,D:min,F
7,D:min,F
7,D:min,D
7,D:min,D
7,D:min,E
8,D:min,F
9,G:maj,F
9,G:maj,B
9,G:maj,C
9,G:maj,D
10,C:maj,E
10,C:maj,C
10,C:maj,D
11,E:min,E
11,E:min,C
11,E:min,C
11,E:min,D
12,G:min,E
13,A:maj,E
13,A:maj,C#
13,A:maj,D
13,A:maj,C
14,D:min,C
14,D:min,C
14,D:min,D
14,D:min,C
15,G:maj,B
15,G:maj,B
15,G:maj,D
15,G:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,E
17,C:maj,F
18,C:maj,G
18,C:maj,G
18,C:maj,E
18,C:maj,F
19,E:min,G
19,E:min,E
19,E:min,E
19,E:min,F
20,G:min,G
21,A:maj,G
21,A:maj,C#
21,A:maj,D
21,A:maj,E
22,D:min,F
22,D:min,D
22,D:min,E
23,D:min,F
23,D:min,D
23,D:min,D
23,D:min,E
24,D:min,F
25,G:maj,F
25,G:maj,B
25,G:maj,C
25,G:maj,D
26,C:maj,E
26,C:maj,C
26,C:maj,C
26,C:maj,D
27,E:min,E
27,E:min,C
27,E:min,C
27,E:min,D
28,G:min,E
29,A:maj,E
29,A:maj,C#
29,A:maj,D
29,A:maj,C
30,D:min,C
30,D:min,C
30,D:min,D
30,D:min,C
31,G:maj,B
31,G:maj,B
31,G:maj,D
31,G:maj,D
32,C:maj,C
33,C:maj,C
35,A#:maj,G#
35,A#:maj,F
36,C:maj,E
37,C:maj,E
39,A#:maj,G#
39,A#:maj,F
40,C:maj,E
41,C:maj,E
43,E:maj,E
43,E:maj,B
43,E:maj,B
44,A:min,B
44,A:min,A
45,A:min,A
47,D:maj,D
47,D:maj,C
48,G:maj,B
49,G:maj,B
