measure,chord,note
2,A:maj,E
2,A:maj,F
2,A:maj,F
2,A:maj,C#
3,D:min,D
3,D:min,D
3,D:min,C#
4,G:maj,D
4,G:maj,E
4,G:maj,E
4,G:maj,B
5,A:min,C
5,A:min,C
5,A:min,A
6,G:min,C
6,G:min,D
6,G:min,C
7,F#:min,B
8,B:maj,B
8,B:maj,A
9,E:min,G
10,F:min,C
11,E:min,G
12,F:min,C
13,C#:maj,G
13,C#:maj,E
13,C#:maj,G
14,F#:maj,A#
14,F#:maj,A
15,D:min,G#
16,G:maj,G
16,G:maj,G
16,G:maj,C
17,D:min,G
17,D:min,G
18,G:maj,F
18,G:maj,D
18,G:maj,B
19,C:maj,C
20,B:min,C
20,B:min,A
20,B:min,B
21,A:min,C
21,A:min,A
21,A:min,C
22,D:maj,E
22,D:maj,D
22,D:maj,C
24,E:min,D
24,E:min,C#
25,A#:min,C
25,A#:min,C
25,A#:min,D#
25,A#:min,C
26,F:min,A#
26,F:min,G#
27,D:min,G
28,G:maj,G
28,G:maj,G
28,G:maj,C
30,A:maj,E
30,A:maj,F
30,A:maj,F
30,A:maj,C#
31,D:min,D
31,D:min,D
31,D:min,C#
32,G:maj,D
32,G:maj,E
32,G:maj,E
32,G:maj,B
33,A:min,C
33,A:min,C
33,A:min,A
34,G:min,C
34,G:min,D
34,G:min,C
35,F#:min,B
36,B:maj,B
36,B:maj,A
37,E:min,G
38,F:min,C
39,E:min,G
40,F:min,C
41,D:min,G
41,D:min,G
42,G:maj,F
42,G:maj,D
42,G:maj,B
