measure,chord,note
1,C:maj,C
1,C:maj,B
1,C:maj,C
2,D:min,D
2,D:min,C
2,D:min,B
2,D:min,A
3,C:maj,E
3,C:maj,D
3,C:maj,E
4,F:maj,F
4,F:maj,E
4,F:maj,D
4,F:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,D:min,B
6,D:min,C
6,D:min,D
6,D:min,C
6,D:min,B
6,D:min,A
7,C:maj,A
7,C:maj,G
7,C:maj,E
7,C:maj,G
8,F:maj,F
8,F:maj,E
8,F:maj,F
8,F:maj,G
8,F:maj,F
8,F:maj,E
8,F:maj,D
9,C:maj,C
9,C:maj,C
9,C:maj,C
10,D:min,C
10,D:min,B
10,D:min,C
10,D:min,D
10,D:min,C
10,D:min,B
10,D:min,A
11,C:maj,A
11,C:maj,G
11,C:maj,E
11,C:maj,G
12,F:maj,F
12,F:maj,E
12,F:maj,F
12,F:maj,G
12,F:maj,A
12,F:maj,B
13,C:maj,C
13,C:maj,C
13,C:maj,C
14,D:min,C
14,D:min,B
14,D:min,C
14,D:min,D
14,D:min,C
14,D:min,B
14,D:min,A
15,C:maj,A
15,C:maj,G
15,C:maj,E
15,C:maj,G
16,F:maj,F
16,F:maj,E
16,F:maj,F
16,F:maj,G
16,F:maj,F
16,F:maj,E
16,F:maj,D
17,C:maj,C
17,C:maj,C
17,C:maj,D
17,C:maj,C
18,D:min,C
18,D:min,B
18,D:min,C
18,D:min,D
18,D:min,C
18,D:min,B
18,D:min,A
19,C:maj,A
19,C:maj,G
19,C:maj,E
19,C:maj,G
20,F:maj,F
20,F:maj,E
20,F:maj,F
20,F:maj,G
21,G#:maj,G#
21,G#:maj,C
21,G#:maj,F
22,F:min,D#
22,F:min,C
22,F:min,D#
23,A#:min,C#
23,A#:min,A#
23,A#:min,C
24,D#:maj,C#
24,D#:maj,C
24,D#:maj,A#
25,G#:maj,G#
25,G#:maj,C
25,G#:maj,F
26,F:min,D#
26,F:min,C
26,F:min,D#
27,G:min,C#
27,G:min,A#
27,G:min,C
28,C:maj,C#
28,C:maj,C
28,C:maj,A#
29,F:maj,A
29,F:maj,A
29,F:maj,B
30,D:min,C
30,D:min,A#
30,D:min,A
31,G:min,A#
31,G:min,A
31,G:min,G
32,G:maj,B
32,G:maj,A
32,G:maj,G
32,G:maj,A
32,G:maj,B
33,C:maj,C
33,C:maj,C
33,C:maj,C
34,D:min,C
34,D:min,B
34,D:min,C
34,D:min,D
34,D:min,C
34,D:min,B
34,D:min,A
35,C:maj,A
35,C:maj,G
35,C:maj,E
35,C:maj,G
36,F:maj,F
36,F:maj,E
36,F:maj,F
36,F:maj,G
36,F:maj,F
36,F:maj,E
36,F:maj,D
37,C:maj,C
37,C:maj,C
37,C:maj,D
37,C:maj,C
38,D:min,C
38,D:min,B
38,D:min,C
38,D:min,D
38,D:min,C
38,D:min,B
38,D:min,A
39,C:maj,A
39,C:maj,G
39,C:maj,E
39,C:maj,G
40,F:maj,F
40,F:maj,E
40,F:maj,F
40,F:maj,G
41,D#:maj,D#
41,D#:maj,G
41,D#:maj,A#
42,F:min,D
42,F:min,C
42,F:min,F
42,F:min,D#
43,D:maj,D
43,D:maj,C
43,D:maj,D#
43,D:maj,D
44,G:min,C
44,G:min,A#
44,G:min,A
44,G:min,G
45,D#:maj,D#
45,D#:maj,G
45,D#:maj,A#
46,F:min,D
46,F:min,C
46,F:min,F
46,F:min,D#
47,D:maj,D
47,D:maj,C
47,D:maj,D#
47,D:maj,D
48,G:maj,C
48,G:maj,B
48,G:maj,G
49,C:maj,C
49,C:maj,C
49,C:maj,D
49,C:maj,C
50,D:min,G
50,D:min,G
50,D:min,G
50,D:min,E
51,C:maj,E
51,C:maj,D
51,C:maj,C
51,C:maj,E
52,F:maj,F
52,F:maj,F
52,F:maj,F
52,F:maj,G
52,F:maj,A
52,F:maj,B
