measure,chord,note
1,C:maj,G
1,C:maj,E
2,C:maj,G
3,G:maj,E
3,G:maj,D
4,G:maj,G
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,C:maj,E
6,C:maj,G
7,G:maj,A
7,G:maj,G
8,G:maj,D
9,C:maj,G
9,C:maj,E
10,C:maj,G
11,G:maj,E
11,G:maj,D
12,G:maj,G
13,C:maj,C
13,C:maj,C
13,C:maj,C
14,G:maj,E
14,G:maj,E
14,G:maj,D
15,C:maj,C
16,C:maj,C
17,F:maj,C
17,F:maj,C
17,F:maj,C
17,F:maj,G
17,F:maj,A
18,F:maj,C
18,F:maj,C
18,F:maj,A
18,F:maj,A
18,F:maj,G
18,F:maj,E
19,F:maj,C
19,F:maj,C
19,F:maj,A
19,F:maj,A
19,F:maj,G
19,F:maj,E
19,F:maj,C
20,G:maj,G
21,F:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,G
22,F:maj,C
22,F:maj,C
22,F:maj,A
22,F:maj,A
22,F:maj,G
22,F:maj,E
22,F:maj,G
22,F:maj,A
23,A:min,C
23,A:min,C
23,A:min,C
23,A:min,C
23,A:min,D
23,A:min,B
23,A:min,A
24,G:maj,G
25,C:maj,G
25,C:maj,E
26,C:maj,G
27,G:maj,E
27,G:maj,D
28,G:maj,G
29,C:maj,C
29,C:maj,C
29,C:maj,C
30,C:maj,E
30,C:maj,G
31,G:maj,A
31,G:maj,G
32,G:maj,D
33,C:maj,G
33,C:maj,E
34,C:maj,G
35,F:maj,C
35,F:maj,D
36,F:min,E
37,C:maj,E
37,C:maj,D
37,C:maj,C
38,G:maj,D
38,G:maj,C
38,G:maj,B
39,C:maj,C
39,C:maj,A
40,C:maj,G
40,C:maj,E
41,F:maj,E
41,F:maj,D
41,F:maj,C
42,G:maj,D
42,G:maj,C
42,G:maj,B
43,C:maj,C
44,F:maj,C
45,C:maj,C
