measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
2,C:maj,C
2,C:maj,A#
2,C:maj,G
2,C:maj,G
3,C:min,B
3,C:min,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,C:maj,C
6,C:maj,A#
6,C:maj,G
6,C:maj,G
7,C:maj,B
7,C:maj,C
8,C:maj,A
9,F:maj,A
9,F:maj,A
9,F:maj,G
9,F:maj,G
9,F:maj,A#
9,F:maj,A
10,F:maj,A
10,F:maj,A
10,F:maj,A
11,C:maj,A
11,C:maj,A
11,C:maj,A
11,C:maj,A
11,C:maj,G
11,C:maj,G
11,C:maj,A#
12,F:maj,A
12,F:maj,A
13,C:maj,A
13,C:maj,A
13,C:maj,G
13,C:maj,G
13,C:maj,A#
14,F:maj,A
14,F:maj,A
14,F:maj,G
14,F:maj,G
14,F:maj,A#
15,F:maj,A
15,F:maj,A
15,F:maj,G
15,F:maj,A
15,F:maj,A#
16,C:maj,A
16,C:maj,A
16,C:maj,A
16,C:maj,A
16,C:maj,A
16,C:maj,A
17,G:maj,B
17,G:maj,B
17,G:maj,B
18,F:maj,A
18,F:maj,A
18,F:maj,A
18,F:maj,A
18,F:maj,A
19,G:maj,B
19,G:maj,B
19,G:maj,B
20,G:maj,G
21,D:maj,G
21,D:maj,G
21,D:maj,G
21,D:maj,G
21,D:maj,G
21,D:maj,F#
21,D:maj,F#
21,D:maj,G
22,G:maj,G
22,G:maj,G
22,G:maj,G
23,D:maj,G
23,D:maj,G
23,D:maj,G
23,D:maj,G
23,D:maj,G
23,D:maj,F#
23,D:maj,F#
23,D:maj,G
24,G:maj,G
25,D:maj,G
25,D:maj,G
25,D:maj,G
25,D:maj,G
25,D:maj,G
25,D:maj,F#
25,D:maj,F#
25,D:maj,G
26,G:maj,G
26,G:maj,D
26,G:maj,E
26,G:maj,G
27,G:maj,B
27,G:maj,A
28,G:maj,B
28,G:maj,G
28,G:maj,A
28,G:maj,A
28,G:maj,B
28,G:maj,B
29,C:maj,C
29,C:maj,C
29,C:maj,C
30,G:maj,B
30,G:maj,B
30,G:maj,B
30,G:maj,B
30,G:maj,B
31,C:maj,C
31,C:maj,C
31,C:maj,C
32,C:maj,C
32,C:maj,G
32,C:maj,G
33,C:maj,G
33,C:maj,E
33,C:maj,G
33,C:maj,G
33,C:maj,E
34,C:maj,G
34,C:maj,G
34,C:maj,A
34,C:maj,C
35,C:maj,G
36,C:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,A
38,F:maj,C
38,F:maj,C
38,F:maj,D
38,F:maj,C
39,F:maj,D
39,F:maj,C
40,F:maj,C
40,F:maj,A
40,F:maj,A
40,F:maj,A
40,F:maj,A
40,F:maj,A
41,G:maj,B
41,G:maj,B
41,G:maj,B
42,F:maj,A
42,F:maj,A
42,F:maj,A
42,F:maj,A
42,F:maj,A
43,G:maj,B
43,G:maj,B
43,G:maj,B
44,G:maj,E
44,G:maj,F
44,G:maj,F
44,G:maj,E
44,G:maj,D
45,C:maj,C
46,C:maj,C
46,C:maj,C
46,C:maj,C
47,C:maj,C
