measure,chord,note
1,C:maj,E
1,C:maj,D
1,C:maj,C
1,C:maj,C
2,F:maj,D
2,F:maj,E
2,F:maj,D
2,F:maj,C
2,F:maj,A
2,F:maj,G
3,C:maj,E
3,C:maj,D
3,C:maj,C
3,C:maj,C
4,F:maj,D
4,F:maj,E
4,F:maj,D
4,F:maj,C
4,F:maj,A
5,C:maj,C
5,C:maj,C
5,C:maj,G
5,C:maj,C
5,C:maj,G
5,C:maj,C
5,C:maj,D
5,C:maj,E
6,F:maj,A
6,F:maj,A
6,F:maj,F
6,F:maj,A
6,F:maj,F
6,F:maj,A
6,F:maj,A
6,F:maj,G
6,F:maj,A
7,C:maj,C
7,C:maj,C
7,C:maj,G
7,C:maj,C
7,C:maj,G
7,C:maj,C
7,C:maj,D
7,C:maj,E
8,F:maj,A
8,F:maj,A
8,F:maj,F
8,F:maj,A
8,F:maj,F
8,F:maj,C
8,F:maj,C
8,F:maj,C
8,F:maj,B
8,F:maj,A
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,D
9,C:maj,D
9,C:maj,C
10,F:maj,D
10,F:maj,C
10,F:maj,C
10,F:maj,A
10,F:maj,A
10,F:maj,G
10,F:maj,G
10,F:maj,G
11,C:maj,E
11,C:maj,E
11,C:maj,E
11,C:maj,D
11,C:maj,D
11,C:maj,C
11,C:maj,C
12,F:maj,D
12,F:maj,C
12,F:maj,C
12,F:maj,A
13,G:maj,D
13,G:maj,D
13,G:maj,D
13,G:maj,D
13,G:maj,E
13,G:maj,F
14,E:min,E
14,E:min,B
14,E:min,E
14,E:min,D
15,F:maj,C
15,F:maj,A
15,F:maj,F
15,F:maj,E
16,G:maj,D
16,G:maj,G
17,C:maj,E
17,C:maj,E
17,C:maj,E
17,C:maj,D
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,F:maj,D
18,F:maj,C
18,F:maj,A
18,F:maj,G
19,C:maj,E
19,C:maj,E
19,C:maj,E
19,C:maj,D
19,C:maj,C
19,C:maj,C
19,C:maj,C
20,F:maj,D
20,F:maj,C
20,F:maj,D
20,F:maj,C
20,F:maj,D
20,F:maj,C
20,F:maj,A
21,G:maj,D
21,G:maj,D
21,G:maj,D
21,G:maj,D
21,G:maj,E
21,G:maj,F
22,E:min,E
22,E:min,B
22,E:min,E
22,E:min,D
23,F:maj,C
23,F:maj,A
23,F:maj,F
23,F:maj,E
24,G:maj,D
25,C:maj,E
25,C:maj,C
25,C:maj,D
25,C:maj,C
25,C:maj,C
25,C:maj,D
25,C:maj,E
26,F:maj,D
26,F:maj,C
26,F:maj,C
27,C:maj,E
27,C:maj,C
27,C:maj,D
27,C:maj,D
27,C:maj,E
28,F:maj,D
28,F:maj,C
28,F:maj,C
29,C:maj,E
29,C:maj,C
29,C:maj,D
29,C:maj,C
29,C:maj,C
29,C:maj,D
29,C:maj,E
30,F:maj,D
30,F:maj,C
30,F:maj,C
31,C:maj,E
31,C:maj,C
31,C:maj,D
31,C:maj,D
31,C:maj,C
31,C:maj,C
31,C:maj,C
31,C:maj,D
31,C:maj,E
31,C:maj,D
32,F:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,G
33,C:maj,C
33,C:maj,G
33,C:maj,C
33,C:maj,D
33,C:maj,E
34,F:maj,A
34,F:maj,A
34,F:maj,F
34,F:maj,A
34,F:maj,F
34,F:maj,A
34,F:maj,A
34,F:maj,G
34,F:maj,A
35,C:maj,C
35,C:maj,C
35,C:maj,G
35,C:maj,C
35,C:maj,G
35,C:maj,C
35,C:maj,D
35,C:maj,E
36,F:maj,A
36,F:maj,A
36,F:maj,F
36,F:maj,A
36,F:maj,F
36,F:maj,C
36,F:maj,C
36,F:maj,C
36,F:maj,B
36,F:maj,E
37,C:maj,D
37,C:maj,C
37,C:maj,E
37,C:maj,D
37,C:maj,C
37,C:maj,C
38,F:maj,F
38,F:maj,C
38,F:maj,C
38,F:maj,F
38,F:maj,C
38,F:maj,E
39,C:maj,D
39,C:maj,C
39,C:maj,E
39,C:maj,D
39,C:maj,C
39,C:maj,C
40,F:maj,F
40,F:maj,C
40,F:maj,C
40,F:maj,F
40,F:maj,C
41,F:maj,A
41,F:maj,A
41,F:maj,F
41,F:maj,A
41,F:maj,F
41,F:maj,C
41,F:maj,C
41,F:maj,C
41,F:maj,B
41,F:maj,A
42,C:maj,C
42,C:maj,C
42,C:maj,G
42,C:maj,C
42,C:maj,G
42,C:maj,C
42,C:maj,D
42,C:maj,E
43,F:maj,A
43,F:maj,A
43,F:maj,F
43,F:maj,A
43,F:maj,F
43,F:maj,A
43,F:maj,A
43,F:maj,G
43,F:maj,A
44,C:maj,C
44,C:maj,C
44,C:maj,G
44,C:maj,C
44,C:maj,G
44,C:maj,C
44,C:maj,D
44,C:maj,E
45,F:maj,A
45,F:maj,A
45,F:maj,F
45,F:maj,A
45,F:maj,F
45,F:maj,C
45,F:maj,C
45,F:maj,C
45,F:maj,B
45,F:maj,E
46,C:maj,D
46,C:maj,C
46,C:maj,E
46,C:maj,D
46,C:maj,C
46,C:maj,C
47,F:maj,F
47,F:maj,C
47,F:maj,C
47,F:maj,F
47,F:maj,C
48,C:maj,E
48,C:maj,D
48,C:maj,C
48,C:maj,C
49,F:maj,D
49,F:maj,E
49,F:maj,D
49,F:maj,C
