measure,chord,note
1,C:maj,E
1,C:maj,D
1,C:maj,C
1,C:maj,B
2,F:maj,A
3,G:maj,A
3,G:maj,D
3,G:maj,C
3,G:maj,B
3,G:maj,A
4,C:maj,G
5,C:maj,G
5,C:maj,C
5,C:maj,B
5,C:maj,A
5,C:maj,G
6,F:maj,F
7,G:maj,F
7,G:maj,F
7,G:maj,B
7,G:maj,A
7,G:maj,G
7,G:maj,F
8,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,D
9,C:maj,C
9,C:maj,B
10,F:maj,A
11,G:maj,A
11,G:maj,D
11,G:maj,C
11,G:maj,B
11,G:maj,A
12,C:maj,G
13,C:maj,G
13,C:maj,C
13,C:maj,B
13,C:maj,A
13,C:maj,G
14,F:maj,F
15,G:maj,F
15,G:maj,B
15,G:maj,G
15,G:maj,B
15,G:maj,D
16,C:maj,C
17,C:maj,C
18,G:maj,B
18,G:maj,B
18,G:maj,B
18,G:maj,B
18,G:maj,C
18,G:maj,D
19,C:maj,C
19,C:maj,G
19,C:maj,G
20,G:maj,B
20,G:maj,B
20,G:maj,C
20,G:maj,D
21,C:maj,C
22,G:maj,B
22,G:maj,B
22,G:maj,C
22,G:maj,D
23,C:maj,C
23,C:maj,G
23,C:maj,G
23,C:maj,G
24,D:maj,A
24,D:maj,A
24,D:maj,A
24,D:maj,E
24,D:maj,C
25,D:maj,D
26,G:maj,D
26,G:maj,E
26,G:maj,D
26,G:maj,C
26,G:maj,B
27,F:maj,A
28,G:maj,A
28,G:maj,D
28,G:maj,C
28,G:maj,B
28,G:maj,A
29,C:maj,G
30,C:maj,G
30,C:maj,C
30,C:maj,B
30,C:maj,A
30,C:maj,G
31,F:maj,F
32,G:maj,F
32,G:maj,B
32,G:maj,G
32,G:maj,B
32,G:maj,D
33,C:maj,C
34,G:maj,C
34,G:maj,E
34,G:maj,D
34,G:maj,C
34,G:maj,B
35,C:maj,C
36,C:maj,C
