measure,chord,note
2,C:maj,C
2,C:maj,D
3,C:maj,C
3,C:maj,G
3,C:maj,A
3,C:maj,G
4,F:maj,F
5,F#:maj,A#
5,F#:maj,B
6,G:maj,B
6,G:maj,C
7,G:maj,B
7,G:maj,F
7,G:maj,A
7,G:maj,G
8,C:maj,G
9,G:maj,G
10,C:maj,C
10,C:maj,D
11,C:maj,C
11,C:maj,G
11,C:maj,A
11,C:maj,G
12,F:maj,F
13,F#:maj,A
13,F#:maj,A#
13,F#:maj,B
14,G:maj,B
14,G:maj,C
15,G:maj,B
15,G:maj,G
15,G:maj,F
15,G:maj,E
15,G:maj,D
16,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,B
18,C:maj,B
18,C:maj,D
19,C:maj,C
19,C:maj,G
19,C:maj,A
19,C:maj,G
20,F:maj,F
20,F:maj,F
20,F:maj,F
20,F:maj,F
20,F:maj,C
20,F:maj,A
21,F#:maj,A
21,F#:maj,A#
21,F#:maj,B
22,G:maj,B
22,G:maj,B
22,G:maj,C
22,G:maj,B
23,G:maj,B
23,G:maj,G
23,G:maj,A
23,G:maj,G
23,G:maj,F#
24,C:maj,G
24,C:maj,C
24,C:maj,C
24,C:maj,D
25,G:maj,E
25,G:maj,E
25,G:maj,G
25,G:maj,C
26,C:maj,C
26,C:maj,D
27,C:maj,C
27,C:maj,G
27,C:maj,A
27,C:maj,A
27,C:maj,G
28,F:maj,G
28,F:maj,F
28,F:maj,F
28,F:maj,C
29,F#:maj,A
29,F#:maj,B
30,G:maj,B
30,G:maj,C
30,G:maj,B
30,G:maj,G
31,G:maj,A
31,G:maj,G
31,G:maj,F
31,G:maj,E
31,G:maj,D
32,C:maj,C
33,G:maj,E
33,G:maj,G
33,G:maj,C
34,C:maj,C
34,C:maj,D
35,G:maj,E
35,G:maj,G
35,G:maj,C
36,C:maj,C
36,C:maj,D
37,C:maj,C
38,C:maj,A
38,C:maj,A#
38,C:maj,B
39,G:maj,B
39,G:maj,C
40,G:maj,B
40,G:maj,G
40,G:maj,F
40,G:maj,E
40,G:maj,D
41,C:maj,C
