measure,chord,note
1,C:maj,C
1,C:maj,D
1,C:maj,E
1,C:maj,D
1,C:maj,D
1,C:maj,C
2,C#:min,C#
2,C#:min,D
2,C#:min,E
2,C#:min,D
2,C#:min,D
2,C#:min,C#
3,D:min,D
3,D:min,E
3,D:min,F
3,D:min,E
3,D:min,E
3,D:min,D
3,D:min,A
3,D:min,G
4,G:maj,G
5,C:maj,C
5,C:maj,D
5,C:maj,E
5,C:maj,D
5,C:maj,D
5,C:maj,C
6,C#:min,C#
6,C#:min,D
6,C#:min,E
6,C#:min,D
6,C#:min,D
6,C#:min,C#
7,D:min,D
7,D:min,E
7,D:min,F
7,D:min,E
7,D:min,E
7,D:min,D
7,D:min,A
7,D:min,G
8,G:maj,G
9,C:maj,C
9,C:maj,D
9,C:maj,E
9,C:maj,G
10,C:maj,F#
10,C:maj,F
10,C:maj,F
11,F:maj,F
11,F:maj,G
11,F:maj,A
11,F:maj,C
12,E:min,B
12,E:min,B
13,D:maj,C
13,D:maj,A
13,D:maj,C
14,D:maj,A
14,D:maj,E
14,D:maj,E
14,D:maj,E
15,D:min,C
15,D:min,A
15,D:min,C
15,D:min,A
16,G:maj,E
16,G:maj,G
16,G:maj,G
16,G:maj,G
17,C:maj,C
17,C:maj,E
17,C:maj,G
17,C:maj,C
18,C#:maj,C#
18,C#:maj,C#
19,F:maj,C
19,F:maj,D
19,F:maj,C
20,D:min,G
20,D:min,E
21,C:maj,C
21,C:maj,D
21,C:maj,E
21,C:maj,D
21,C:maj,D
21,C:maj,C
22,C#:min,C#
22,C#:min,D
22,C#:min,E
22,C#:min,D
22,C#:min,D
22,C#:min,C
23,D:min,D
23,D:min,E
23,D:min,F
23,D:min,A
23,D:min,B
23,D:min,G
23,D:min,E
24,C:maj,G
24,C:maj,A#
25,C:maj,C
25,C:maj,D
25,C:maj,E
25,C:maj,D
25,C:maj,D
25,C:maj,C
26,C#:min,C#
26,C#:min,D
26,C#:min,E
26,C#:min,D
26,C#:min,D
26,C#:min,C#
27,D:min,D
27,D:min,E
27,D:min,F
27,D:min,E
27,D:min,E
27,D:min,D
27,D:min,A
27,D:min,G
28,G:maj,G
29,C:maj,C
29,C:maj,E
29,C:maj,G
29,C:maj,C
30,C#:maj,C#
30,C#:maj,C#
31,F:maj,E
31,F:maj,F
31,F:maj,G
31,F:maj,E
31,F:maj,F
31,F:maj,G
32,D:min,E
32,D:min,F
32,D:min,G
32,D:min,G
33,C:maj,C
33,C:maj,D
33,C:maj,E
33,C:maj,D
33,C:maj,D
33,C:maj,C
34,C#:min,C#
34,C#:min,D
34,C#:min,E
34,C#:min,D
34,C#:min,D
34,C#:min,C#
35,D:min,D
35,D:min,E
35,D:min,F
35,D:min,G
35,D:min,G
35,D:min,C
35,D:min,A
36,G:maj,G
36,G:maj,E
36,G:maj,G
36,G:maj,E
36,G:maj,E
36,G:maj,A
36,G:maj,C
37,C:maj,C
37,C:maj,C#
37,C:maj,A
37,C:maj,C
38,D:maj,D
38,D:maj,E
38,D:maj,F
38,D:maj,G
38,D:maj,A#
38,D:maj,G
38,D:maj,A#
38,D:maj,A#
38,D:maj,G
39,C:maj,A#
39,C:maj,A
39,C:maj,F#
39,C:maj,F#
39,C:maj,G
39,C:maj,D#
39,C:maj,C
39,C:maj,A
39,C:maj,G
40,C:maj,C
40,C:maj,D
40,C:maj,E
40,C:maj,A
40,C:maj,A
