measure,chord,note
2,C:maj,G
3,A:min,G
3,A:min,E
3,A:min,A
3,A:min,G
3,A:min,F
3,A:min,E
4,D:min,F
4,D:min,D
4,D:min,D
5,F:min,D
5,F:min,G#
5,F:min,G
5,F:min,G
5,F:min,G
5,F:min,F
6,C:maj,E
6,C:maj,G
7,D:maj,C
8,D:maj,C
8,D:maj,E
8,D:maj,E
8,D:maj,A
8,D:maj,E
8,D:maj,D
9,F:min,D
9,F:min,D
9,F:min,E
9,F:min,F
9,F:min,G#
9,F:min,D
10,F:min,D
10,F:min,D
10,F:min,E
10,F:min,F
10,F:min,C
10,F:min,C
11,G:maj,B
12,G:maj,B
12,G:maj,E
12,G:maj,E
12,G:maj,A
12,G:maj,A
12,G:maj,E
13,C:maj,G
14,A:maj,G
14,A:maj,E
14,A:maj,A
14,A:maj,G
14,A:maj,F
14,A:maj,E
15,D:min,F
15,D:min,D
15,D:min,D
16,F:min,D
16,F:min,G#
16,F:min,G
16,F:min,G
16,F:min,G
16,F:min,F
17,C:maj,E
17,C:maj,G
18,D:maj,C
19,D:maj,C
19,D:maj,E
19,D:maj,E
19,D:maj,A
19,D:maj,E
19,D:maj,D
20,F:min,D
20,F:min,D
20,F:min,E
20,F:min,F
20,F:min,G#
20,F:min,D
21,F:min,D
21,F:min,D
21,F:min,E
21,F:min,F
21,F:min,C
21,F:min,C
22,G:maj,B
23,G:maj,B
24,A:min,C
25,F:maj,C
25,F:maj,B
25,F:maj,C
25,F:maj,D
25,F:maj,B
26,E:maj,C
27,B:maj,C
27,B:maj,A
27,B:maj,B
27,B:maj,C
27,B:maj,A
28,E:min,B
29,G:maj,B
29,G:maj,G
29,G:maj,A
29,G:maj,A#
29,G:maj,G
30,F:min,G#
30,F:min,G
31,G:maj,E
31,G:maj,E
31,G:maj,A
31,G:maj,A
31,G:maj,E
31,G:maj,G
32,C:maj,G
33,A:maj,G
33,A:maj,E
33,A:maj,A
33,A:maj,G
33,A:maj,F
33,A:maj,E
34,D:min,F
34,D:min,D
34,D:min,D
35,F:min,D
35,F:min,G#
35,F:min,G
35,F:min,G
35,F:min,G
35,F:min,F
35,F:min,E
36,C:maj,E
36,C:maj,G
37,A:min,C
38,D:maj,C
38,D:maj,E
38,D:maj,D
38,D:maj,C
39,F:maj,C
39,F:maj,E
39,F:maj,D
39,F:maj,C
39,F:maj,C
39,F:maj,E
39,F:maj,D
39,F:maj,C
40,D:min,C
40,D:min,D
41,C:maj,C
42,F:min,D
42,F:min,E
42,F:min,F
42,F:min,B
42,F:min,B
43,C:maj,C
44,F:min,D
44,F:min,E
44,F:min,F
44,F:min,B
44,F:min,B
45,C:maj,C
