measure,chord,note
2,G:maj,B
3,G:maj,B
3,G:maj,G
3,G:maj,G
3,G:maj,B
4,C:maj,C
4,C:maj,B
5,G:maj,B
5,G:maj,G
5,G:maj,G
5,G:maj,G
6,A:min,A
7,D:maj,A
7,D:maj,B
7,D:maj,A
7,D:maj,G
7,D:maj,A
8,G:maj,B
9,G:maj,B
9,G:maj,G
9,G:maj,G
9,G:maj,B
10,G:maj,B
11,G:maj,B
11,G:maj,G
11,G:maj,G
11,G:maj,E
12,A:min,E
13,D:maj,E
13,D:maj,F#
13,D:maj,F#
13,D:maj,D
14,G:maj,D
15,G:maj,D
15,G:maj,G
15,G:maj,G
15,G:maj,C
16,A:min,C
16,A:min,B
16,A:min,C
17,D:maj,D
17,D:maj,C
18,G:maj,D
19,G:maj,D
19,G:maj,G
19,G:maj,G
19,G:maj,D#
20,F:maj,D#
21,F:maj,E
21,F:maj,F
21,F:maj,F
21,F:maj,D
22,A#:maj,D
23,A#:maj,D
23,A#:maj,G
23,A#:maj,G
23,A#:maj,C
24,C:min,C
25,D#:maj,C
25,D#:maj,A#
26,D:maj,A
27,D:maj,A
27,D:maj,G
27,D:maj,G
27,D:maj,B
28,G:maj,B
29,G:maj,B
29,G:maj,G
29,G:maj,G
29,G:maj,G
30,C:maj,C
30,C:maj,B
31,G:maj,B
31,G:maj,G
31,G:maj,G
31,G:maj,G
32,A:min,A
33,D:maj,A
33,D:maj,A
34,G:maj,B
35,G:maj,B
