measure,chord,note
2,C:maj,E
2,C:maj,E
2,C:maj,E
2,C:maj,D
2,C:maj,C
3,D:min,D
3,D:min,D
3,D:min,D
3,D:min,C
3,D:min,B
4,C:maj,C
4,C:maj,G
5,C:maj,E
5,C:maj,C
5,C:maj,D
6,A:min,E
6,A:min,E
6,A:min,E
6,A:min,D
6,A:min,C
7,D:min,D
7,D:min,D
7,D:min,D
7,D:min,C
7,D:min,B
8,C:maj,C
8,C:maj,G
9,C:maj,G
10,F:maj,A
10,F:maj,F
10,F:maj,A
11,G:maj,F
11,G:maj,A
11,G:maj,F
11,G:maj,F
11,G:maj,E
11,G:maj,D
12,C:maj,G
12,C:maj,E
12,C:maj,G
13,C:maj,E
13,C:maj,G
13,C:maj,E
13,C:maj,E
13,C:maj,D
13,C:maj,C
14,A:min,E
14,A:min,C
14,A:min,E
15,D:maj,C
15,D:maj,E
15,D:maj,C
15,D:maj,C
15,D:maj,B
15,D:maj,A
16,G:maj,D
16,G:maj,E
17,D:min,F
17,D:min,G
17,D:min,A
17,D:min,E
17,D:min,D
18,C:maj,E
18,C:maj,E
18,C:maj,E
18,C:maj,D
18,C:maj,C
19,D:min,D
19,D:min,D
19,D:min,D
19,D:min,C
19,D:min,B
20,C:maj,C
20,C:maj,G
21,C:maj,E
22,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,F
22,C:maj,E
23,G:maj,F
23,G:maj,F
23,G:maj,F
23,G:maj,E
23,G:maj,D
24,C:maj,G
24,C:maj,C
25,C:maj,G#
26,F:maj,A
26,F:maj,A
26,F:maj,G#
26,F:maj,A
26,F:maj,G
26,F:maj,F
27,F:min,G#
27,F:min,G#
27,F:min,G#
27,F:min,B
27,F:min,G#
27,F:min,G
27,F:min,F
28,C:maj,G
28,C:maj,E
28,C:maj,C
29,F#:min,A
29,F#:min,C
29,F#:min,D
30,C:maj,E
30,C:maj,E
30,C:maj,E
30,C:maj,D
30,C:maj,C
31,G:maj,D
31,G:maj,D
31,G:maj,D
31,G:maj,C
31,G:maj,B
32,C:maj,C
33,C:maj,C
