measure,chord,note
2,A:min,A
2,A:min,A
2,A:min,B
2,A:min,C
3,F:maj,F
3,F:maj,F
3,F:maj,F
3,F:maj,G
3,F:maj,A
3,F:maj,B
3,F:maj,C
4,D:min,D
4,D:min,E
4,D:min,F
4,D:min,G
4,D:min,F
4,D:min,D
5,A:min,E
5,A:min,E
6,A:min,E
6,A:min,E
6,A:min,B
6,A:min,C
6,A:min,D
6,A:min,E
6,A:min,D
6,A:min,C
6,A:min,B
6,A:min,E
7,A:min,A
7,A:min,A
7,A:min,B
7,A:min,C
8,F:maj,F
8,F:maj,F
9,G:maj,F
9,G:maj,F
9,G:maj,F
9,G:maj,F
9,G:maj,D
9,G:maj,B
10,F:maj,E
10,F:maj,A
10,F:maj,B
10,F:maj,C
11,B:min,D
11,B:min,D
11,B:min,D
11,B:min,B
11,B:min,G#
12,D:min,C
12,D:min,C
13,D:min,G
13,D:min,G
13,D:min,D
13,D:min,D#
13,D:min,F
13,D:min,G
13,D:min,F
13,D:min,D#
13,D:min,D
13,D:min,G
14,E:maj,C
14,E:maj,C
14,E:maj,D
14,E:maj,B
14,E:maj,E
15,A:min,A
16,A:min,E
16,A:min,B
16,A:min,C
16,A:min,D
16,A:min,E
16,A:min,D
16,A:min,C
16,A:min,B
16,A:min,E
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,B
17,A:min,C
18,F:maj,F
18,F:maj,F
18,F:maj,F
18,F:maj,G
18,F:maj,A
18,F:maj,B
18,F:maj,C
19,F:maj,D
19,F:maj,E
19,F:maj,F
19,F:maj,G
19,F:maj,F
19,F:maj,D
20,A:min,E
20,A:min,E
21,A:min,E
21,A:min,E
21,A:min,B
21,A:min,C
21,A:min,D
21,A:min,E
21,A:min,D
21,A:min,C
21,A:min,B
21,A:min,E
22,A:min,A
22,A:min,A
22,A:min,B
22,A:min,C
23,F:maj,F
23,F:maj,F
24,G:maj,F
24,G:maj,F
24,G:maj,F
24,G:maj,F
24,G:maj,D
24,G:maj,B
25,F:maj,E
25,F:maj,A
25,F:maj,B
25,F:maj,C
26,B:min,B
26,B:min,D
26,B:min,D
26,B:min,D
26,B:min,B
26,B:min,G#
27,D:min,C
27,D:min,C
28,D:min,G
28,D:min,G
28,D:min,D
28,D:min,D#
28,D:min,F
28,D:min,G
28,D:min,F
28,D:min,D#
28,D:min,D
28,D:min,G
29,E:maj,C
29,E:maj,C
29,E:maj,C
29,E:maj,E
29,E:maj,B
29,E:maj,B
29,E:maj,E
30,A:min,A
30,A:min,A
30,A:min,A
31,D:min,A
31,D:min,A
31,D:min,E
31,D:min,F
31,D:min,D
32,A:min,A
